areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
nation,Northern Ireland,N92000002,2022-05-19,0,3445
nation,Northern Ireland,N92000002,2022-05-18,4,3445
nation,Northern Ireland,N92000002,2022-05-17,1,3441
nation,Northern Ireland,N92000002,2022-05-16,2,3440
nation,Northern Ireland,N92000002,2022-05-15,0,3438
nation,Northern Ireland,N92000002,2022-05-14,0,3438
nation,Northern Ireland,N92000002,2022-05-13,1,3438
nation,Northern Ireland,N92000002,2022-05-12,2,3437
nation,Northern Ireland,N92000002,2022-05-11,1,3435
nation,Northern Ireland,N92000002,2022-05-10,2,3434
nation,Northern Ireland,N92000002,2022-05-09,2,3432
nation,Northern Ireland,N92000002,2022-05-08,1,3430
nation,Northern Ireland,N92000002,2022-05-07,2,3429
nation,Northern Ireland,N92000002,2022-05-06,0,3427
nation,Northern Ireland,N92000002,2022-05-05,2,3427
nation,Northern Ireland,N92000002,2022-05-04,0,3425
nation,Northern Ireland,N92000002,2022-05-03,0,3425
nation,Northern Ireland,N92000002,2022-05-02,1,3425
nation,Northern Ireland,N92000002,2022-05-01,1,3424
nation,Northern Ireland,N92000002,2022-04-30,2,3423
nation,Northern Ireland,N92000002,2022-04-29,3,3421
nation,Northern Ireland,N92000002,2022-04-28,1,3418
nation,Northern Ireland,N92000002,2022-04-27,1,3417
nation,Northern Ireland,N92000002,2022-04-26,3,3416
nation,Northern Ireland,N92000002,2022-04-25,1,3413
nation,Northern Ireland,N92000002,2022-04-24,3,3412
nation,Northern Ireland,N92000002,2022-04-23,2,3409
nation,Northern Ireland,N92000002,2022-04-22,1,3407
nation,Northern Ireland,N92000002,2022-04-21,3,3406
nation,Northern Ireland,N92000002,2022-04-20,6,3403
nation,Northern Ireland,N92000002,2022-04-19,1,3397
nation,Northern Ireland,N92000002,2022-04-18,3,3396
nation,Northern Ireland,N92000002,2022-04-17,9,3393
nation,Northern Ireland,N92000002,2022-04-16,1,3384
nation,Northern Ireland,N92000002,2022-04-15,3,3383
nation,Northern Ireland,N92000002,2022-04-14,3,3380
nation,Northern Ireland,N92000002,2022-04-13,5,3377
nation,Northern Ireland,N92000002,2022-04-12,3,3372
nation,Northern Ireland,N92000002,2022-04-11,0,3369
nation,Northern Ireland,N92000002,2022-04-10,5,3369
nation,Northern Ireland,N92000002,2022-04-09,4,3364
nation,Northern Ireland,N92000002,2022-04-08,3,3360
nation,Northern Ireland,N92000002,2022-04-07,5,3357
nation,Northern Ireland,N92000002,2022-04-06,4,3352
nation,Northern Ireland,N92000002,2022-04-05,2,3348
nation,Northern Ireland,N92000002,2022-04-04,4,3346
nation,Northern Ireland,N92000002,2022-04-03,4,3342
nation,Northern Ireland,N92000002,2022-04-02,3,3338
nation,Northern Ireland,N92000002,2022-04-01,5,3335
nation,Northern Ireland,N92000002,2022-03-31,6,3330
nation,Northern Ireland,N92000002,2022-03-30,2,3324
nation,Northern Ireland,N92000002,2022-03-29,5,3322
nation,Northern Ireland,N92000002,2022-03-28,4,3317
nation,Northern Ireland,N92000002,2022-03-27,7,3313
nation,Northern Ireland,N92000002,2022-03-26,3,3306
nation,Northern Ireland,N92000002,2022-03-25,9,3303
nation,Northern Ireland,N92000002,2022-03-24,1,3294
