areaType,areaName,areaCode,date,newAdmissions,cumAdmissions
nation,Northern Ireland,N92000002,2022-06-16,10,20984
nation,Northern Ireland,N92000002,2022-06-15,19,20974
nation,Northern Ireland,N92000002,2022-06-14,21,20955
nation,Northern Ireland,N92000002,2022-06-13,19,20934
nation,Northern Ireland,N92000002,2022-06-12,14,20915
nation,Northern Ireland,N92000002,2022-06-11,16,20901
nation,Northern Ireland,N92000002,2022-06-10,21,20885
nation,Northern Ireland,N92000002,2022-06-09,25,20864
nation,Northern Ireland,N92000002,2022-06-08,22,20839
nation,Northern Ireland,N92000002,2022-06-07,29,20817
nation,Northern Ireland,N92000002,2022-06-06,10,20788
nation,Northern Ireland,N92000002,2022-06-05,16,20778
nation,Northern Ireland,N92000002,2022-06-04,9,20762
nation,Northern Ireland,N92000002,2022-06-03,11,20753
nation,Northern Ireland,N92000002,2022-06-02,14,20742
nation,Northern Ireland,N92000002,2022-06-01,20,20728
nation,Northern Ireland,N92000002,2022-05-31,13,20708
nation,Northern Ireland,N92000002,2022-05-30,12,20695
nation,Northern Ireland,N92000002,2022-05-29,11,20683
nation,Northern Ireland,N92000002,2022-05-28,11,20672
nation,Northern Ireland,N92000002,2022-05-27,12,20661
nation,Northern Ireland,N92000002,2022-05-26,12,20649
nation,Northern Ireland,N92000002,2022-05-25,10,20637
nation,Northern Ireland,N92000002,2022-05-24,18,20627
nation,Northern Ireland,N92000002,2022-05-23,18,20609
nation,Northern Ireland,N92000002,2022-05-22,13,20591
nation,Northern Ireland,N92000002,2022-05-21,6,20578
nation,Northern Ireland,N92000002,2022-05-20,12,20572
nation,Northern Ireland,N92000002,2022-05-19,9,20560
nation,Northern Ireland,N92000002,2022-05-18,13,20551
nation,Northern Ireland,N92000002,2022-05-17,9,20538
nation,Northern Ireland,N92000002,2022-05-16,13,20529
nation,Northern Ireland,N92000002,2022-05-15,11,20516
nation,Northern Ireland,N92000002,2022-05-14,7,20505
nation,Northern Ireland,N92000002,2022-05-13,12,20498
nation,Northern Ireland,N92000002,2022-05-12,9,20486
nation,Northern Ireland,N92000002,2022-05-11,11,20477
nation,Northern Ireland,N92000002,2022-05-10,13,20466
nation,Northern Ireland,N92000002,2022-05-09,13,20453
nation,Northern Ireland,N92000002,2022-05-08,12,20440
nation,Northern Ireland,N92000002,2022-05-07,16,20428
nation,Northern Ireland,N92000002,2022-05-06,13,20412
nation,Northern Ireland,N92000002,2022-05-05,8,20399
nation,Northern Ireland,N92000002,2022-05-04,15,20391
nation,Northern Ireland,N92000002,2022-05-03,15,20376
nation,Northern Ireland,N92000002,2022-05-02,11,20361
nation,Northern Ireland,N92000002,2022-05-01,12,20350
nation,Northern Ireland,N92000002,2022-04-30,10,20338
nation,Northern Ireland,N92000002,2022-04-29,15,20328
nation,Northern Ireland,N92000002,2022-04-28,17,20313
nation,Northern Ireland,N92000002,2022-04-27,22,20296
nation,Northern Ireland,N92000002,2022-04-26,23,20274
nation,Northern Ireland,N92000002,2022-04-25,21,20251
nation,Northern Ireland,N92000002,2022-04-24,19,20230
nation,Northern Ireland,N92000002,2022-04-23,14,20211
nation,Northern Ireland,N92000002,2022-04-22,21,20197
nation,Northern Ireland,N92000002,2022-04-21,27,20176
nation,Northern Ireland,N92000002,2022-04-20,13,20149
nation,Northern Ireland,N92000002,2022-04-19,26,20136
nation,Northern Ireland,N92000002,2022-04-18,14,20110
nation,Northern Ireland,N92000002,2022-04-17,18,20096
nation,Northern Ireland,N92000002,2022-04-16,19,20078
nation,Northern Ireland,N92000002,2022-04-15,25,20059
nation,Northern Ireland,N92000002,2022-04-14,30,20034
nation,Northern Ireland,N92000002,2022-04-13,20,20004
nation,Northern Ireland,N92000002,2022-04-12,31,19984
nation,Northern Ireland,N92000002,2022-04-11,30,19953
nation,Northern Ireland,N92000002,2022-04-10,28,19923
nation,Northern Ireland,N92000002,2022-04-09,25,19895
nation,Northern Ireland,N92000002,2022-04-08,23,19870
nation,Northern Ireland,N92000002,2022-04-07,36,19847
nation,Northern Ireland,N92000002,2022-04-06,32,19811
nation,Northern Ireland,N92000002,2022-04-05,37,19779
nation,Northern Ireland,N92000002,2022-04-04,41,19742
nation,Northern Ireland,N92000002,2022-04-03,28,19701
nation,Northern Ireland,N92000002,2022-04-02,34,19673
nation,Northern Ireland,N92000002,2022-04-01,49,19639
nation,Northern Ireland,N92000002,2022-03-31,32,19590
nation,Northern Ireland,N92000002,2022-03-30,41,19558
nation,Northern Ireland,N92000002,2022-03-29,37,19517
nation,Northern Ireland,N92000002,2022-03-28,44,19480
nation,Northern Ireland,N92000002,2022-03-27,29,19436
nation,Northern Ireland,N92000002,2022-03-26,39,19407
nation,Northern Ireland,N92000002,2022-03-25,48,19368
nation,Northern Ireland,N92000002,2022-03-24,65,19320
nation,Northern Ireland,N92000002,2022-03-23,54,19255
nation,Northern Ireland,N92000002,2022-03-22,45,19201
nation,Northern Ireland,N92000002,2022-03-21,37,19156
nation,Northern Ireland,N92000002,2022-03-20,29,19119
nation,Northern Ireland,N92000002,2022-03-19,38,19090
nation,Northern Ireland,N92000002,2022-03-18,32,19052
nation,Northern Ireland,N92000002,2022-03-17,47,19020
nation,Northern Ireland,N92000002,2022-03-16,36,18973
nation,Northern Ireland,N92000002,2022-03-15,52,18937
nation,Northern Ireland,N92000002,2022-03-14,49,18885
nation,Northern Ireland,N92000002,2022-03-13,46,18836
nation,Northern Ireland,N92000002,2022-03-12,37,18790
nation,Northern Ireland,N92000002,2022-03-11,54,18753
nation,Northern Ireland,N92000002,2022-03-10,46,18699
nation,Northern Ireland,N92000002,2022-03-09,52,18653
nation,Northern Ireland,N92000002,2022-03-08,51,18601
nation,Northern Ireland,N92000002,2022-03-07,41,18550
nation,Northern Ireland,N92000002,2022-03-06,31,18509
nation,Northern Ireland,N92000002,2022-03-05,38,18478
nation,Northern Ireland,N92000002,2022-03-04,63,18440
nation,Northern Ireland,N92000002,2022-03-03,61,18377
nation,Northern Ireland,N92000002,2022-03-02,51,18316
nation,Northern Ireland,N92000002,2022-03-01,44,18265
nation,Northern Ireland,N92000002,2022-02-28,38,18221
nation,Northern Ireland,N92000002,2022-02-27,31,18183
nation,Northern Ireland,N92000002,2022-02-26,42,18152
nation,Northern Ireland,N92000002,2022-02-25,43,18110
nation,Northern Ireland,N92000002,2022-02-24,42,18067
nation,Northern Ireland,N92000002,2022-02-23,59,18025
nation,Northern Ireland,N92000002,2022-02-22,31,17966
nation,Northern Ireland,N92000002,2022-02-21,45,17935
nation,Northern Ireland,N92000002,2022-02-20,47,17890
nation,Northern Ireland,N92000002,2022-02-19,43,17843
nation,Northern Ireland,N92000002,2022-02-18,33,17800
nation,Northern Ireland,N92000002,2022-02-17,47,17767
nation,Northern Ireland,N92000002,2022-02-16,46,17720
nation,Northern Ireland,N92000002,2022-02-15,51,17674
nation,Northern Ireland,N92000002,2022-02-14,38,17623
nation,Northern Ireland,N92000002,2022-02-13,29,17585
nation,Northern Ireland,N92000002,2022-02-12,46,17556
nation,Northern Ireland,N92000002,2022-02-11,47,17510
nation,Northern Ireland,N92000002,2022-02-10,47,17463
nation,Northern Ireland,N92000002,2022-02-09,52,17416
nation,Northern Ireland,N92000002,2022-02-08,49,17364
nation,Northern Ireland,N92000002,2022-02-07,51,17315
nation,Northern Ireland,N92000002,2022-02-06,37,17264
nation,Northern Ireland,N92000002,2022-02-05,42,17227
nation,Northern Ireland,N92000002,2022-02-04,49,17185
nation,Northern Ireland,N92000002,2022-02-03,45,17136
nation,Northern Ireland,N92000002,2022-02-02,60,17091
