cluster,irish_samples
1,1
2,1
3,1
4,1
5,3
6,1
7,1
8,1
9,1
10,21
11,1
12,4
13,1
14,1
15,6
16,4
17,2
18,8
19,5
20,1
21,5
22,23
23,13
24,8
25,7
26,2
27,1
28,1
29,1
30,1
31,10
32,2
33,1
34,1
35,2
36,1
37,1
38,2
39,1
40,3
41,1
42,1
43,2
44,1
45,3
46,1
47,1
48,1
49,1
50,2
51,1
52,1
53,2
54,1
55,2
56,1
57,1
58,1
59,4
60,1
61,1
62,28
63,1
64,1
65,1
66,2
67,638
68,1
69,2
70,1
71,1
72,4
73,1
74,1
75,1
76,1
77,45
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,6
86,1
87,1
88,2
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,31
103,1
104,1
105,1
106,2
107,1
108,30
109,10
110,4
111,1
112,26
113,12
114,1
115,6
116,1
117,10
118,19
119,3
120,7
121,1
122,10
123,1
124,12
125,3
126,1
127,1
128,6
129,2
130,2
131,11
132,2
133,1
134,1
135,1
136,1
137,3
138,2
139,1
140,1
141,5
142,1
143,2
144,2
145,5
146,1
147,1
148,1
149,1
150,1
151,11
152,2
153,1
154,2
155,1
156,1
157,4
158,1
159,1
160,2
161,1
162,54
163,2
164,2
165,65
166,2
167,1
168,1
169,1
170,4
