cluster,irish_samples
1,2
2,32
3,1
4,1
5,1
6,1
7,2
8,3
9,5
10,3
11,118
12,1
13,2
14,1
15,17
16,10
17,3
18,2
19,2
20,13
21,4
22,12
23,1
24,16
25,1
26,7
27,1
28,2
29,1
30,1
31,1
32,2
33,31
34,1
35,1
36,1
37,12
38,9
39,4
40,94
41,1
42,2
43,2
44,6
45,12
46,2
47,3
48,17
49,1
50,1
51,22
52,2
53,136
54,13
55,9
56,1
57,1
58,54
59,2
60,6
61,38
62,2
63,2
64,6
65,3
66,1
67,14
68,1
69,13
70,1
71,1
72,3
73,2
74,10
75,1
76,1
77,3
78,1
79,1
80,3
81,2
82,1
83,314
84,1
85,1
86,16
87,154
88,1
89,73
90,5
91,2
92,18
93,1
94,1
95,3
96,27
97,8
98,2
99,1
100,2
101,1
102,1
103,1
104,3
105,1
106,6
107,1
108,192
109,4
110,10
111,2
112,11
113,1
114,7
115,16
116,1
117,2
118,1
119,16
120,12
121,1
122,1
123,1
124,24
125,19
126,5
127,2
128,8
129,3
130,2
131,30
132,2
133,1
134,1
135,1
136,7
137,2
138,2
139,3
140,1
141,1
142,377
143,2
144,60
145,2
146,5
147,1
148,9
149,1
150,1
151,1
152,1
153,4
154,2
155,1
156,527
157,465
158,1
159,18
160,1
161,1
162,50
163,1
164,3
165,2
166,16
167,1
168,1
169,32
170,2
171,15
172,6
173,1
174,1
175,89
176,8
177,57
178,35
179,1
180,1
181,27
182,1
183,1
184,2
185,1
186,4
187,2
188,5
189,5
190,6
191,9
192,1
193,1
194,2
195,10
196,9
197,2
198,34
199,9
200,1
201,7
202,1
203,1
204,1
205,3
206,1
207,4
208,14
209,2
210,10
211,1
212,1
213,1
214,1
215,10
216,32
217,48
218,50
219,2
220,4
221,2
222,1
223,5
224,11
225,9
226,1
227,3
228,179
229,11
230,1
231,11
232,156
233,2
234,33
235,1
236,5
237,83
238,1
239,2
240,7
241,1
242,1
243,2
244,2
245,8
246,3
247,1
248,2
249,10
250,1
251,1
