cluster,irish_samples
1,2
2,6
3,1
4,1
5,3
6,5
7,3
8,100
9,1
10,1
11,6
12,10
13,2
14,2
15,13
16,4
17,2
18,1
19,16
20,1
21,7
22,2
23,1
24,2
25,31
26,1
27,1
28,4
29,4
30,94
31,1
32,2
33,4
34,2
35,2
36,1
37,2
38,5
39,1
40,1
41,22
42,105
43,12
44,1
45,1
46,1
47,2
48,53
49,6
50,38
51,2
52,6
53,3
54,1
55,14
56,1
57,6
58,1
59,3
60,1
61,10
62,1
63,2
64,1
65,1
66,1
67,1
68,1
69,1
70,292
71,16
72,33
73,1
74,43
75,5
76,2
77,18
78,1
79,1
80,3
81,18
82,2
83,2
84,2
85,1
86,1
87,1
88,3
89,1
90,6
91,1
92,191
93,4
94,3
95,2
96,11
97,2
98,4
99,2
100,1
101,10
102,12
103,1
104,1
105,21
106,2
107,3
108,3
109,2
110,4
111,1
112,1
113,1
114,3
115,2
116,3
117,1
118,1
119,196
120,2
121,56
122,1
123,5
124,1
125,9
126,1
127,1
128,1
129,1
130,1
131,235
132,341
133,1
134,18
135,41
136,1
137,3
138,2
139,16
140,1
141,1
142,32
143,2
144,15
145,1
146,1
147,1
148,88
149,48
150,12
151,1
152,1
153,7
154,1
155,1
156,2
157,1
158,4
159,2
160,5
161,5
162,6
163,9
164,1
165,1
166,2
167,10
168,9
169,1
170,7
171,9
172,1
173,3
174,1
175,1
176,3
177,1
178,4
179,4
180,2
181,1
182,1
183,1
184,9
185,31
186,48
187,50
188,1
189,2
190,2
191,1
192,5
193,11
194,9
195,1
196,3
197,179
198,11
199,1
200,11
201,156
202,2
203,33
204,1
205,5
206,83
207,1
208,1
209,1
210,1
211,2
212,2
213,3
214,5
215,2
216,2
217,1
218,1
