cluster,irish_samples
1,95
2,3
3,4
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,69
13,795
14,1
15,1
16,1
17,2
18,2
19,1
20,1
21,2
22,2
23,1
24,4
25,1
26,1
27,1
28,1
29,1
30,1
31,2
32,1
33,8
34,4
35,1
36,2
37,3
38,2
39,2
40,16
41,1
42,1
43,1
44,3
45,2
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,2
57,2
58,1
59,2
60,1
61,1
62,1
63,2
64,2
65,1
66,1
67,1
68,1
69,4
70,1
71,1
72,1
73,6
74,5
75,1
76,18
77,1
78,1
79,1
80,1
81,1
82,1
83,17
84,1
85,1
86,1
87,1
88,1
89,2
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,3
105,1
106,4
107,6
108,2
109,1
110,1
111,3
112,32
113,1
114,1
115,1
116,1
117,3
118,1
119,3
120,1
121,1
122,1
123,2
124,2
125,1
126,1
127,1
128,1
129,1
130,1
131,2
132,5
133,1
134,1
135,1
136,1
137,4
138,27
139,3
140,1
141,1
142,3
143,1
144,27
145,1
146,1
147,2
148,1
149,4
150,7
151,2
152,1
153,7
154,2
155,7
156,1
157,4
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,42
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,4
174,1
175,1
176,1
177,4
178,2
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,3
190,1
191,2
192,2
193,9
194,2
195,10
196,1
197,1
198,1
199,1
200,1
201,1
202,10
203,4
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,5
219,1
220,1
221,1
222,9
223,1
224,2
225,284
226,1
227,2
228,1
229,1
230,1
231,1
232,1
233,1
234,8
235,1
236,1
237,1
238,1
239,1
240,1
241,3
242,4
243,1
244,1
245,5
246,1
247,1
248,3
249,1
250,1
251,1
252,55
253,1
254,1
255,4
256,12
257,2
258,1
259,2
260,1
261,1
262,109
263,1
264,2
265,2
266,1
267,5
268,2
269,1
270,1
271,1
272,2
273,1
274,1
275,1
276,1
277,1
278,25
279,1
280,1
281,7
282,2
283,1
284,1
285,1
286,1
287,1
288,1
289,2
290,1
291,2
292,1
293,1
294,1
295,1
296,1
297,2
298,2
299,1
300,7
301,15
302,1
303,1
304,1
305,235
306,2
307,1
308,1
309,2
310,1
311,1
312,1
313,1
314,2
315,1
316,2
317,2
318,1
319,3
320,6
321,2
322,1
323,1
324,4
325,3
326,2
327,2
328,1
329,1
330,2
331,16
332,2
333,7
334,1
335,1
336,1
337,4
338,1
339,6
340,27
341,1
342,1
343,5
344,1
345,3
346,1
347,1
348,1
349,4
350,1
351,1
352,2
353,3
354,2
355,4
356,1
357,1
358,2
359,55
360,1
361,2
362,2
363,2
364,1
365,1
366,2
367,4
368,1
369,5
370,1
371,9
372,6
373,4
374,1
375,1
376,2
377,126
378,1
379,1
380,26
381,1
382,2
383,40
384,3
385,2
386,1
387,41
388,1
389,1
390,8
391,1
392,1
393,4
394,8
395,1
396,3
397,2
398,3
399,1
400,1
401,3
402,2
403,1
404,5
405,1
406,1
407,1
408,1
409,15
410,1
411,1
412,1
413,3
414,1
415,67
416,2
417,2
418,1
419,1
420,1
421,7
422,1
423,4
424,1
425,26
