cluster,irish_samples
1,95
2,1
3,4
4,1
5,1
6,1
7,64
8,794
9,1
10,1
11,1
12,1
13,2
14,2
15,3
16,1
17,1
18,1
19,1
20,1
21,1
22,8
23,4
24,1
25,2
26,3
27,2
28,2
29,12
30,1
31,1
32,1
33,3
34,2
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,2
43,1
44,2
45,1
46,1
47,3
48,1
49,1
50,5
51,5
52,1
53,1
54,1
55,1
56,1
57,1
58,11
59,1
60,1
61,1
62,1
63,1
64,2
65,1
66,1
67,1
68,1
69,1
70,24
71,1
72,3
73,2
74,1
75,1
76,1
77,2
78,1
79,1
80,1
81,1
82,1
83,4
84,1
85,1
86,1
87,1
88,24
89,1
90,1
91,3
92,1
93,24
94,3
95,4
96,2
97,2
98,1
99,7
100,4
101,1
102,1
103,1
104,1
105,1
106,1
107,42
108,1
109,1
110,1
111,1
112,4
113,1
114,4
115,1
116,1
117,1
118,1
119,3
120,1
121,2
122,4
123,10
124,1
125,1
126,1
127,1
128,7
129,1
130,1
131,1
132,1
133,781
134,1
135,1
136,1
137,2
138,271
139,2
140,1
141,1
142,1
143,1
144,5
145,2
146,1
147,1
148,1
149,3
150,4
151,1
152,5
153,1
154,1
155,2
156,1
157,1
158,1
159,43
160,1
161,3
162,4
163,2
164,1
165,1
166,106
167,1
168,2
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,25
177,5
178,1
179,1
180,1
181,2
182,1
183,1
184,1
185,1
186,2
187,1
188,7
189,15
190,1
191,1
192,234
193,1
194,1
195,1
196,1
197,1
198,2
199,4
200,2
201,1
202,1
203,3
204,3
205,1
206,2
207,16
208,1
209,3
210,1
211,1
212,3
213,2
214,27
215,1
216,5
217,1
218,2
219,1
220,1
221,2
222,1
223,2
224,2
225,1
226,1
227,1
228,47
229,1
230,1
231,1
232,1
233,2
234,1
235,5
236,1
237,8
238,5
239,4
240,1
241,1
242,2
243,110
244,1
245,24
246,1
247,2
248,40
249,2
250,2
251,1
252,41
253,1
254,3
255,8
256,2
257,2
258,3
259,1
260,2
261,1
262,1
263,1
264,9
265,1
266,1
267,3
268,53
269,1
270,2
271,1
272,2
273,1
274,19
275,1
276,1
277,1
278,1
279,1
280,8
281,1
282,54
283,1
284,4
285,1
286,13
287,2
288,1
289,4
290,1
291,4
292,3
293,1
294,1
295,4
296,2
297,3
298,1
299,1
300,1
301,2
302,3
303,38
304,1
305,1
306,1
307,1
308,1
309,6
310,1
311,51
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,5
323,33
324,1
325,1
326,1
327,10
328,2
329,5
330,1
331,1
332,4
333,1
334,44
335,33
336,6
337,1
338,1
339,1
340,1
341,4
342,1
343,1
344,1
345,167
346,14
347,1
348,1
349,1
350,1
351,2
352,19
353,22
354,1
355,1
356,25
357,2
358,1
359,3
360,1
361,2
362,6
363,4
364,3
365,1
366,1
367,5
368,1
369,1
370,1
371,1
372,1
373,3
374,2
375,2
376,33
377,1
378,4
379,1
380,1
381,12
382,2
383,1
384,1
385,1
386,1
387,2
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,2
401,1
402,9
403,1
404,2
405,1
406,1
407,1
408,1
409,1
410,2
411,6
412,1
413,1
414,61
415,1
416,2
417,1
418,2
419,2
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,2
434,2
435,2
436,1
437,2
438,1
439,1
440,1
441,2
442,2
443,1
444,1
445,1
446,2
447,1
448,1
449,215
450,3
451,4
452,1
453,1
454,4
455,1
456,4
457,2
458,2
459,2
460,18
461,1
462,1
463,1
464,7
465,4
466,1
467,1
468,1
469,2
470,1
471,2
472,1
473,8
474,1
475,1
476,8
477,1
478,1
479,2
480,1
481,1
482,1
483,2
484,3
485,220
486,1
487,1
488,1
489,1
490,2
491,2
492,1
493,9
494,6
495,3
496,1
497,2
498,2
499,1
500,1
501,1
502,2
503,1
504,11
505,4
506,2
507,2
508,1
509,6
510,1
511,1
512,10
513,1
514,1
515,1
516,2
517,1
518,1
519,1
520,1
521,16
522,1
523,1
524,41
525,2
526,4
527,1
528,1
529,10
530,21
531,1
532,2
533,1
534,4
535,2
536,1
537,6
538,1
539,6
540,1
541,4
542,1
543,19
544,118
545,1
546,4
547,1
548,1
549,1
550,3
551,3
552,1
553,13
554,1
555,3
556,1
557,1
558,2
559,1
560,1
561,22
562,1
563,1
564,1
565,1
566,4
567,1
568,1
569,2
570,1
571,2
572,2
573,1
574,1
575,2
576,1
577,1
578,5
579,1
580,4
581,1
582,1
583,2
584,10
585,2
586,1
587,1
588,1
589,1
590,2
591,1
592,2
593,1
594,4
595,74
596,1
597,1
598,6
599,11
600,1
601,1
602,1
603,1
604,1
605,1
606,3
607,5
608,1
609,39
610,2
611,17
612,3
613,1
614,1
615,1
616,1
617,1
618,4
619,4
620,37
621,23
622,1
623,1
624,1
625,1
626,3
627,2
628,1
629,3
630,2
631,15
632,1
633,1
634,95
635,56
636,1
637,2
638,1
639,1
640,1
641,1
642,1
643,11
644,1
645,1
646,1
647,1
648,150
649,1
650,196
651,1
652,1
653,1
654,1
655,1
656,1
657,1
658,3
659,181
660,2
661,2
662,2
663,1
664,1
665,7
666,1
667,1
668,1
669,1
670,1
671,2
672,10
673,1
674,1
675,6
676,1
677,4
678,1
679,1
680,1
681,27
682,2
683,8
684,2
685,2
686,1
687,1
688,1
689,30
690,4
691,1
692,1
693,1
694,1
695,1
696,1
697,1
698,3
699,1
700,1
701,19
702,1
703,2
704,1
705,2
706,1
707,2
708,1
709,2
710,43
711,2
712,1
713,1
714,1
715,1
716,1
717,1
718,4
719,1
720,1
721,27
722,1
723,1
724,1
725,24
726,1
727,3
728,2
