cluster,irish_samples
1,1
2,5
3,1
4,26
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,3
16,5
17,1
18,1
19,6
20,1
21,1
22,3
23,2
24,1
25,2
26,1
27,1
28,1
29,1
30,2
31,1
32,1
33,2
34,3
35,4
36,1
37,1
38,4
39,1
40,1
41,1
42,1
43,1
44,1
45,2
46,1
47,1
48,3
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,2
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,3
71,1
72,2
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,2
84,1
85,1
86,2
87,1
88,3
89,4
90,1
91,1
92,1
93,1
94,1
95,391
96,1
97,1
98,2
99,1
100,1
101,1
102,2
103,1
104,1
105,1
106,1
107,2
108,3
109,7
110,1
111,5
112,1
113,1
114,1
115,1
116,1
117,1
118,7
119,1
120,4
121,1
122,1
123,1
124,1
125,1
126,2
127,3
128,1
129,1
130,1
131,2
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,6
142,1
143,3
144,2
145,2
146,2
147,5
148,1
149,26
150,1
151,1
152,1
153,1
154,3
155,2
156,1
157,1
158,1
159,1
160,1
161,1
162,2
163,2
164,1
165,1
166,4
167,1
168,1
169,6
170,2
171,1
172,1
173,1
174,1
175,2
176,2
177,2
178,1
179,1
180,1
181,2
182,1
183,1
184,1
185,1
186,2
187,1
188,1
189,2
190,1
191,1
192,1
193,1
194,1
195,2
196,1
197,1
198,1
199,1
200,1
201,1
202,2
203,2
204,1
205,1
206,6
207,1
208,3
209,1
210,4
211,1
212,3
213,1
214,2
215,2
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,2
225,1
226,1
227,1
228,2
229,3
230,1
231,1
232,1
233,2
234,2
235,3
236,2
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,2
246,2
247,3
248,1
249,2
250,1
251,1
252,1
253,1
254,1
255,1
256,3
257,6
258,1
259,1
260,1
261,2
262,1
263,2
264,2
265,1
266,1
267,1
268,1
269,1
270,5
271,2
272,1
273,1
274,1
275,1
276,4
277,1
278,1
279,3
280,4
281,2
282,1
283,1
284,1
285,1
286,2
287,1
288,1
289,1
290,1
291,2
292,1
293,1
294,1
295,1
296,1
297,4
298,2
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1325
317,3
318,3
319,1
320,1
321,2
322,3
323,1
324,1
325,1
326,2
327,1
328,1
329,1
330,1
331,2
332,1
333,1
334,14
335,1
336,2
337,542
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,4
357,4
358,1
359,1
360,1
361,1
362,2
363,1
364,1
365,1
366,2
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,3
375,3
376,1
377,1
378,1
379,1
380,1
381,2
382,1
383,5
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,5
392,2
393,10
394,2
395,1
396,1
397,1
398,1
399,1
400,3
401,1
402,1
403,1
404,2
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,3
413,1
414,1
415,1
416,3
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,3
428,2
429,1
430,8
431,29
432,1
433,1
434,1
435,9
436,2
437,2
438,89
439,1
440,1
441,1
442,1
443,1
444,2
445,6
446,1
447,1
448,1
449,1
450,1
451,1
452,3
453,1
454,1
455,1
456,1
457,1
458,1
459,3
460,1
461,1
462,1
463,3
464,1
465,1
466,1
467,1
468,2
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,72
479,7
480,4
481,1
482,1
483,1
484,1
485,1
486,3
487,3
488,1
489,2
490,2
491,1
492,1
493,1
494,1
495,1
496,1
497,24
498,1
499,2
500,1
501,1
502,1
503,1
504,1
505,154
506,2
507,1
508,1
509,1
510,4
511,1
512,32
513,2
514,1
515,9
516,2
517,3
518,1
519,1
520,2
521,2
522,1
523,1
524,10
525,2
526,1
527,1
528,1
529,1
530,1
531,1
532,2
533,2
534,2
535,1
536,1
537,2
538,1
539,5
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,2
551,1
552,1
553,1
554,1
555,2
556,1
557,1
558,1
559,1
560,3
561,1
562,2
563,1
564,1
565,2
566,2
567,1
568,1
569,2
570,2
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,2
581,1
582,1
583,1
584,1
585,1
586,1
587,1
588,2
589,2
590,1
591,1
592,1
593,1
594,1
595,3
596,1
597,1
598,1
599,1
600,115
601,1
602,2
603,2
604,1
605,1
606,1
607,126
608,2
609,1
610,4
611,1
612,1
613,1
614,1
615,2
616,8
617,1
618,2
619,1
620,1
621,1
622,1
623,1
624,2
625,3
626,1
627,1
628,1
629,1
630,1
631,2
632,4
633,1
634,1
635,1
636,1
637,1
638,1
639,2
640,507
641,5
642,1
643,1
644,1
645,1
646,1
647,1
648,2
649,1
650,5
651,1
652,1
653,2
654,1
655,1
656,9
657,3
658,1
659,1
660,1
661,3
662,1
663,1
664,7
665,1
666,1
667,1
668,5
669,1
670,1
671,16
672,4
673,1
674,2
675,1
676,2
677,1
678,2
679,1
680,1
681,7
682,175
683,1
684,6
685,1
686,8
687,1
688,1
689,1
690,1
691,6
692,1
693,1
694,1
695,1
696,1
697,3
698,1
699,1
700,2
701,4
702,1
703,1
704,2
705,3
706,1
707,1
708,1
709,1
710,2
711,1
712,2
713,4
714,2
715,2
716,8
717,1
718,1
719,2
720,3
721,1
722,3
723,1
724,5
725,1
726,1
727,1
728,1
729,1
730,1
731,1
732,1
733,11
734,2
735,1
736,1
737,1
738,1
739,3
740,3
741,1
742,1
743,2
744,3
745,1
746,1
747,7
748,1
749,3
750,1
751,4
752,1
753,1
754,1
755,2
756,7
757,1
758,4
759,1
760,2
761,1
762,1
763,1
764,2
765,1
766,1
767,1
768,1
769,1
770,1
771,1
772,1
773,1
774,6
775,1
776,1
777,1
778,1
779,3
780,1
781,1
782,1
783,1
784,1
785,2
786,1
787,1
788,3
789,2
790,1
791,1
792,2
793,1
794,1
795,1
796,1
797,1
798,1
799,1
800,1
801,1
802,3
803,2
804,2
805,2
806,1
807,9
808,1
809,1
810,1
811,1
812,1
813,3
814,1
815,2
816,1
817,2
818,1
819,1
820,3
821,1
822,1
823,1
824,1
825,1
826,3
827,1
828,1
829,1
830,1
831,1
832,1
833,1
834,1
835,1
836,5
837,1
838,1
839,1
840,1
841,1
842,1
843,1
844,1
845,2
846,1
847,1
848,1
849,1
850,1
851,2
852,1
853,1
854,1
855,2
856,1
857,2
858,1
859,2
860,1
861,2
862,1
863,1
864,1
865,2
866,1
867,1
868,59
869,1
870,1
871,1
872,7
873,1
874,2
875,1
876,615
877,2
878,1
879,2
880,2
881,1
882,1
883,2
884,1
885,2
886,2
887,6
888,4
889,1
890,2
891,1
892,1
893,1
894,1
895,2
896,19
897,1
898,1
899,1
900,1
901,4
902,1
903,4
904,6
905,1
906,2
907,1
908,6
909,2
910,2
911,1
912,1
913,1
914,5
915,2
916,1
917,5
918,1
919,1
920,1
921,1
922,3
923,1
924,1
925,1
926,1
927,9
928,4
929,1
930,1
931,1
932,2
933,3
934,1
935,1
936,1
937,1
938,8
939,2
940,3
941,2
942,1
943,4
944,3
945,19
946,4
947,1
948,315
949,1
950,1
951,1
952,1
953,1
954,1
955,19
956,3
957,3
958,1
959,1
960,1
961,2
962,1
963,1
964,1
965,3
966,1
967,1
968,7
969,1
970,1
971,1
972,7
973,1
974,1
975,1
976,11
977,1
978,2
979,1
980,3
981,1
982,1
983,2
984,1
985,2
986,1
987,4
988,1
989,1
990,1
991,144
992,3
993,1
994,1
995,1
996,1
997,1
998,1
999,1
1000,1
1001,1
1002,1
1003,1
1004,1
1005,2
1006,1
1007,1
1008,1
1009,15
1010,1
1011,1
1012,1
1013,1
1014,1
1015,1
1016,1
1017,1
1018,2
1019,1
1020,2
1021,1
1022,1
1023,3
1024,3
1025,1
1026,1
1027,1
1028,2
1029,1
1030,1
1031,1
1032,1
1033,2
1034,1
1035,1
1036,2
1037,1
1038,5
1039,1
1040,1
1041,1
1042,1
1043,4
1044,1
1045,1
1046,1
1047,1
1048,1
1049,1
1050,1
1051,1
1052,1
1053,1
1054,1
1055,1
1056,1
1057,1
1058,1
1059,1
1060,1
1061,2
1062,1
1063,1
