cluster,irish_samples
1,1
2,5
3,1
4,26
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,3
16,5
17,1
18,1
19,6
20,1
21,1
22,3
23,2
24,1
25,2
26,1
27,1
28,1
29,1
30,2
31,1
32,1
33,2
34,3
35,4
36,1
37,1
38,4
39,1
40,1
41,1
42,1
43,1
44,1
45,2
46,1
47,1
48,3
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,2
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,3
70,1
71,2
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,2
83,1
84,1
85,2
86,1
87,3
88,4
89,1
90,1
91,1
92,1
93,1
94,383
95,1
96,1
97,2
98,1
99,1
100,2
101,1
102,1
103,1
104,1
105,2
106,3
107,7
108,1
109,5
110,1
111,1
112,1
113,1
114,1
115,1
116,7
117,1
118,4
119,1
120,1
121,1
122,1
123,1
124,2
125,3
126,1
127,1
128,1
129,2
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,6
140,1
141,3
142,2
143,2
144,2
145,5
146,1
147,26
148,1
149,1
150,1
151,1
152,3
153,2
154,1
155,1
156,1
157,1
158,1
159,1
160,2
161,2
162,1
163,1
164,4
165,1
166,1
167,5
168,2
169,1
170,1
171,1
172,1
173,2
174,2
175,2
176,1
177,1
178,1
179,2
180,1
181,1
182,1
183,1
184,2
185,1
186,1
187,2
188,1
189,1
190,1
191,1
192,1
193,2
194,1
195,1
196,1
197,1
198,1
199,2
200,1
201,1
202,6
203,1
204,3
205,1
206,4
207,1
208,3
209,1
210,2
211,2
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,2
221,1
222,1
223,1
224,2
225,3
226,1
227,1
228,1
229,2
230,2
231,2
232,2
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,2
242,2
243,3
244,1
245,2
246,1
247,1
248,1
249,1
250,1
251,1
252,3
253,6
254,1
255,1
256,1
257,2
258,1
259,1
260,2
261,1
262,1
263,1
264,1
265,1
266,5
267,2
268,1
269,1
270,1
271,1
272,4
273,1
274,1
275,3
276,4
277,2
278,1
279,1
280,1
281,1
282,2
283,1
284,1
285,1
286,1
287,2
288,1
289,1
290,1
291,1
292,1
293,4
294,2
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1298
313,3
314,3
315,1
316,1
317,2
318,3
319,1
320,1
321,1
322,2
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,14
331,1
332,2
333,542
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,4
352,4
353,1
354,1
355,1
356,1
357,2
358,1
359,1
360,1
361,2
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,3
370,3
371,1
372,1
373,1
374,1
375,1
376,2
377,1
378,5
379,1
380,1
381,1
382,1
383,1
384,1
385,5
386,2
387,10
388,1
389,1
390,1
391,1
392,1
393,1
394,3
395,1
396,1
397,1
398,2
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,3
407,1
408,1
409,1
410,2
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,3
422,2
423,1
424,8
425,28
426,1
427,1
428,1
429,8
430,2
431,2
432,78
433,1
434,1
435,1
436,1
437,1
438,2
439,6
440,1
441,1
442,1
443,1
444,1
445,3
446,1
447,1
448,1
449,3
450,1
451,1
452,1
453,3
454,1
455,1
456,1
457,3
458,1
459,1
460,1
461,1
462,2
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,64
472,7
473,4
474,1
475,1
476,1
477,1
478,1
479,3
480,3
481,1
482,2
483,2
484,1
485,1
486,1
487,1
488,1
489,1
490,20
491,1
492,2
493,1
494,1
495,1
496,1
497,1
498,150
499,2
500,1
501,1
502,1
503,4
504,1
505,32
506,2
507,1
508,7
509,2
510,3
511,1
512,1
513,2
514,2
515,1
516,1
517,10
518,2
519,1
520,1
521,1
522,1
523,1
524,1
525,2
526,2
527,2
528,1
529,1
530,2
531,1
532,5
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,2
544,1
545,1
546,1
547,2
548,1
549,1
550,1
551,1
552,3
553,1
554,2
555,1
556,1
557,1
558,2
559,1
560,1
561,2
562,2
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,2
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,2
581,2
582,1
583,1
584,1
585,1
586,1
587,2
588,1
589,1
590,1
591,1
592,111
593,1
594,2
595,2
596,1
597,1
598,1
599,125
600,2
601,1
602,4
603,1
604,1
605,1
606,1
607,2
608,6
609,1
610,2
611,1
612,1
613,1
614,1
615,1
616,1
617,1
618,1
619,1
620,1
621,1
622,2
623,4
624,1
625,1
626,1
627,1
628,1
629,1
630,2
631,475
632,5
633,1
634,1
635,1
636,1
637,1
638,1
639,1
640,4
641,1
642,1
643,2
644,1
645,1
646,9
647,3
648,1
649,1
650,1
651,3
652,1
653,1
654,6
655,1
656,1
657,1
658,5
659,1
660,1
661,16
662,4
663,1
664,2
665,1
666,2
667,1
668,1
669,1
670,1
671,7
672,174
673,1
674,6
675,1
676,8
677,1
678,1
679,1
680,1
681,6
682,1
683,1
684,1
685,3
686,1
687,1
688,2
689,4
690,1
691,1
692,2
693,3
694,1
695,1
696,1
697,1
698,2
699,1
700,2
701,4
702,2
703,2
704,8
705,1
706,1
707,2
708,3
709,1
710,3
711,1
712,5
713,1
714,1
715,1
716,1
717,1
718,1
719,1
720,1
721,11
722,2
723,1
724,1
725,1
726,3
727,3
728,1
729,2
730,3
731,1
732,1
733,7
734,1
735,3
736,1
737,4
738,1
739,1
740,1
741,2
742,7
743,1
744,4
745,1
746,2
747,1
748,1
749,1
750,2
751,1
752,1
753,1
754,1
755,1
756,1
757,1
758,1
759,1
760,6
761,1
762,1
763,1
764,1
765,3
766,1
767,1
768,1
769,1
770,1
771,2
772,1
773,1
774,2
775,2
776,1
777,1
778,2
779,1
780,1
781,1
782,1
783,1
784,1
785,1
786,1
787,1
788,3
789,2
790,2
791,2
792,1
793,9
794,1
795,1
796,1
797,1
798,1
799,3
800,1
801,2
802,1
803,2
804,1
805,1
806,3
807,1
808,1
809,1
810,1
811,3
812,1
813,1
814,1
815,1
816,1
817,1
818,1
819,1
820,1
821,5
822,1
823,1
824,1
825,1
826,1
827,1
828,1
829,1
830,2
831,1
832,1
833,1
834,1
835,1
836,2
837,1
838,1
839,1
840,2
841,1
842,2
843,1
844,2
845,1
846,2
847,1
848,1
849,1
850,2
851,1
852,1
853,55
854,1
855,1
856,7
857,2
858,1
859,598
860,2
861,1
862,2
863,2
864,1
865,1
866,2
867,1
868,2
869,2
870,5
871,4
872,1
873,2
874,1
875,1
876,1
877,1
878,2
879,19
880,1
881,1
882,1
883,1
884,4
885,1
886,4
887,6
888,1
889,2
890,1
891,6
892,2
893,2
894,1
895,1
896,1
897,5
898,2
899,1
900,5
901,1
902,1
903,1
904,1
905,3
906,1
907,1
908,1
909,1
910,9
911,4
912,1
913,1
914,1
915,2
916,3
917,1
918,1
919,1
920,1
921,8
922,2
923,3
924,2
925,1
926,4
927,3
928,19
929,4
930,1
931,311
932,1
933,1
934,1
935,1
936,1
937,1
938,16
939,3
940,3
941,1
942,1
943,1
944,2
945,1
946,1
947,1
948,3
949,1
950,1
951,7
952,1
953,1
954,1
955,7
956,1
957,1
958,1
959,11
960,1
961,2
962,1
963,3
964,1
965,1
966,2
967,1
968,2
969,1
970,4
971,1
972,1
973,1
974,123
975,3
976,1
977,1
978,1
979,1
980,1
981,1
982,1
983,1
984,1
985,1
986,1
987,2
988,1
989,1
990,1
991,15
992,1
993,1
994,1
995,1
996,1
997,1
998,1
999,1
1000,2
1001,1
1002,1
1003,1
1004,3
1005,3
1006,1
1007,1
1008,1
1009,2
1010,1
1011,1
1012,1
1013,1
1014,2
1015,1
1016,1
1017,2
1018,1
1019,5
1020,1
1021,1
1022,1
1023,1
1024,4
1025,1
1026,1
1027,1
1028,1
1029,1
1030,1
1031,1
1032,1
1033,1
1034,1
1035,1
1036,1
1037,1
1038,1
1039,1
1040,1
1041,1
1042,2
1043,1
1044,1
1045,1
1046,2
1047,1
1048,2
1049,1
1050,1
1051,1
1052,2
1053,1
1054,1
1055,1
1056,1
1057,1
1058,1
1059,1
1060,3
1061,2
1062,427
1063,2
