cluster,irish_samples
1,1
2,3
3,1
4,3
5,5
6,1
7,4
8,1
9,1
10,1
11,1
12,3
13,2
14,2
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,3
23,5
24,10
25,2
26,1
27,2
28,4
29,6
30,1
31,5
32,1
33,1
34,1
35,4
36,2
37,1
38,1
39,1
40,1
41,1
42,1
43,13
44,1
45,1
46,1
47,1
48,2
49,1
50,2
51,8
52,1
53,1
54,1
55,1
56,1
57,56
58,1
59,1
60,10
61,3
62,2
63,2
64,1
65,1
66,7
67,1
68,3
69,2
70,1
71,1
72,1
73,1
74,2
75,1
76,2
77,1
78,2
79,1
80,1
81,1
82,1
83,1
84,4
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,6
93,11
94,1
95,1
96,1
97,1
98,3
99,5
100,1
101,1
102,1
103,1
104,3
105,1
106,3
107,2
108,4
109,2
110,2
111,3
112,7
113,1
114,1
115,2
116,2
117,3
118,1
119,1
120,9
121,1
122,8
123,5
124,1
125,1
126,1
127,1
128,1
129,1
130,53
131,89
132,17
133,57
134,2
135,50
136,1
137,3
138,3
139,2
140,1
141,1
142,2
143,1
144,2
145,1
146,1
147,2
148,1
149,3
150,1
151,2
152,2
153,1
154,1
155,1
156,1
157,2
158,1
159,1
160,7
161,1
162,1
163,1
164,1
165,2
166,1
167,1
168,1
169,3
170,2
171,3
172,1
173,3
174,1
175,1
176,1
177,2
178,2
179,1
180,1
181,2
182,1
183,1
184,35
185,2
186,1
187,1
188,1
189,2
190,6
191,4
192,2
193,1
194,1
195,2
196,13
197,1
198,8
199,1
200,1
201,1
202,5
203,1
204,1
205,1
206,3
207,1
208,13
209,2
210,6
211,3
212,1
213,1
214,1
215,1
216,40
217,2
218,2
219,8
220,1
221,4
222,1
223,1
224,2
225,1
226,4
227,1
228,2
229,26
230,9
231,1
232,1
233,3
234,8
235,1
236,1
237,3
238,1
239,11
240,2
241,2
242,1
243,1
244,8
245,71
246,2
247,1
248,1
249,1
250,1
251,10
252,1
253,1
254,1
255,1
256,3
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,18
265,1
266,1
267,1
268,1
269,4
270,1
271,2
272,1
273,1
274,1
275,1
276,17
277,1
278,2
279,14
280,1
281,7
282,2
283,2
284,1
285,1
