cluster,irish_samples
1,1
2,3
3,1
4,3
5,4
6,1
7,4
8,1
9,1
10,1
11,1
12,3
13,2
14,2
15,1
16,1
17,1
18,1
19,1
20,1
21,3
22,5
23,10
24,2
25,1
26,2
27,4
28,6
29,1
30,5
31,1
32,1
33,4
34,2
35,1
36,1
37,1
38,1
39,1
40,1
41,13
42,1
43,1
44,1
45,1
46,1
47,1
48,2
49,8
50,1
51,1
52,1
53,1
54,1
55,55
56,1
57,1
58,10
59,3
60,2
61,2
62,1
63,5
64,3
65,2
66,1
67,1
68,1
69,2
70,1
71,1
72,2
73,1
74,1
75,1
76,1
77,4
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,6
86,11
87,1
88,1
89,1
90,1
91,3
92,5
93,1
94,1
95,2
96,1
97,3
98,2
99,4
100,2
101,2
102,3
103,7
104,1
105,1
106,2
107,2
108,3
109,1
110,1
111,9
112,1
113,8
114,4
115,1
116,1
117,1
118,1
119,1
120,50
121,85
122,16
123,53
124,2
125,45
126,1
127,3
128,3
129,2
130,1
131,1
132,2
133,1
134,1
135,2
136,1
137,1
138,1
139,3
140,1
141,2
142,2
143,1
144,1
145,1
146,1
147,1
148,1
149,7
150,1
151,1
152,1
153,2
154,1
155,1
156,1
157,3
158,1
159,3
160,1
161,3
162,1
163,1
164,1
165,2
166,2
167,1
168,1
169,2
170,1
171,1
172,31
173,2
174,1
175,1
176,1
177,2
178,6
179,2
180,2
181,1
182,2
183,13
184,1
185,7
186,1
187,1
188,5
189,1
190,1
191,1
192,3
193,1
194,13
195,2
196,4
197,3
198,1
199,1
200,1
201,1
202,38
203,2
204,1
205,7
206,1
207,4
208,1
209,1
210,2
211,1
212,4
213,1
214,2
215,26
216,9
217,1
218,1
219,3
220,5
221,1
222,3
223,1
224,10
225,1
226,2
227,1
228,1
229,1
230,8
231,62
232,2
233,1
234,1
235,1
236,1
237,10
238,1
239,1
240,1
241,1
242,3
243,1
244,1
245,1
246,1
247,1
248,15
249,1
250,1
251,1
252,4
253,2
254,1
255,1
256,3
257,1
258,2
259,42
260,1
261,1
262,1
263,17
264,1
265,2
266,13
267,1
268,7
269,2
270,2
271,1
272,1
273,2
274,1
275,33
276,1
277,1
278,1
279,2
280,8
281,2
282,4
283,1
284,1
285,1
