node	country
root	Asia / China
node_1	Asia / China
EPI_ISL_402125	Asia / China
node_2	Asia / China
node_74	England
EPI_ISL_402120	Asia / China
node_1090	Asia / China
EPI_ISL_962580	Asia / China
node_1500	Asia / China
node_1548	Asia / China
node_4588	Asia / China
node_5567	Asia / China
EPI_ISL_403930	Asia / China
EPI_ISL_402130	Asia / China
EPI_ISL_402121	Asia / China
EPI_ISL_411902	Asia / Cambodia
EPI_ISL_447761	South America / Colombia
node_1518256	Asia / China
node_1518272	Asia / China
EPI_ISL_454995	Asia / China
EPI_ISL_455373	Asia / China
node_1518274	Asia / China
EPI_ISL_455395	Asia / China
node_1518277	Asia / China
node_1518281	Asia / China
node_1518288	Asia / China
node_1518309	Asia / China
node_1518324	Asia / China
EPI_ISL_402132	Asia / China
EPI_ISL_428474	Asia / China
node_1518325	Asia / China
EPI_ISL_421259	Asia / China
EPI_ISL_437882	Europe / Greece
node_1518331	Asia / China
EPI_ISL_454935	Asia / China
EPI_ISL_455391	Asia / China
node_1518333	Asia / China
EPI_ISL_1040042	Asia / China
EPI_ISL_403928	Asia / China
EPI_ISL_416337	Asia / China
node_1518515	Asia / China
EPI_ISL_451313	Asia / China
node_1518524	Asia / China
EPI_ISL_455371	Asia / China
node_1518539	Asia / China
node_1518542	England
node_1518542	Republic of Ireland
node_1518542	South America / Chile
node_1518548	Asia / Indonesia
node_1518548	Oceania / Australia
EPI_ISL_962873	Asia / China
EPI_ISL_429239	Asia / China
node_1518550	Asia / China
node_1518553	Asia / China
EPI_ISL_514752	Asia / China
node_1518556	Asia / China
EPI_ISL_1040033	Asia / China
EPI_ISL_402123	Asia / China
node_1518575	Asia / China
node_1518581	Asia / China
node_1518582	Asia / China
node_1518585	Asia / China
EPI_ISL_454936	Asia / China
node_1518588	Asia / China
node_1518593	Asia / China
node_1518912	Asia / China
EPI_ISL_413753	Asia / China
EPI_ISL_428465	Asia / China
node_1518914	Asia / China
EPI_ISL_416362	Asia / China
node_1518917	Asia / China
node_1518918	Asia / China
node_1518934	Asia / China
EPI_ISL_451321	Asia / China
EPI_ISL_451357	Asia / China
EPI_ISL_510973	Europe / Portugal
node_1518943	Asia / China
EPI_ISL_424359	Asia / China
node_1518946	Asia / China
EPI_ISL_403931	Asia / China
EPI_ISL_424703	Europe / Sweden
EPI_ISL_428466	Asia / China
EPI_ISL_416425	Asia / China
node_1518950	Asia / China
EPI_ISL_416320	Asia / China
node_1518957	Asia / China
EPI_ISL_454932	Asia / China
EPI_ISL_455466	Asia / China
node_1518959	Asia / China
node_1518960	North America / USA
node_1518960	Oceania / Australia
EPI_ISL_493172	Asia / China
node_1518968	Asia / China
node_1518970	Asia / China
EPI_ISL_416044	Asia / China
EPI_ISL_451359	Asia / China
EPI_ISL_454930	Asia / China
EPI_ISL_456175	Oceania / New Zealand
node_1518978	Asia / China
EPI_ISL_486426	Europe / Latvia
EPI_ISL_493158	Asia / China
node_1518979	Asia / China
node_1518984	Asia / China
EPI_ISL_412459	Asia / China
EPI_ISL_416405	Asia / China
node_1518988	Asia / China
node_1518989	Asia / China
node_1518990	Asia / China
node_1518991	Asia / China
node_1519007	Asia / China
node_1519008	Asia / China
EPI_ISL_454978	Asia / China
EPI_ISL_454984	Asia / China
EPI_ISL_455383	Asia / China
EPI_ISL_455390	Asia / China
node_1519009	Asia / China
node_1519012	Asia / China
node_1519016	Asia / Vietnam
EPI_ISL_421254	Asia / China
node_1519019	Asia / China
EPI_ISL_451386	Asia / China
node_1519020	Asia / China
node_1519021	Asia / China
EPI_ISL_454965	Asia / China
EPI_ISL_455394	Asia / China
node_1519023	Asia / China
node_1519025	Asia / China
node_1519027	Asia / China
node_1519028	Asia / China
EPI_ISL_428460	Asia / China
EPI_ISL_429103	Asia / China
node_1519031	Asia / China
EPI_ISL_418990	Asia / China
node_1519032	Asia / China
EPI_ISL_452362	Asia / China
EPI_ISL_454917	Asia / China
EPI_ISL_454948	Asia / China
EPI_ISL_454949	Asia / China
EPI_ISL_454951	Asia / China
node_1519034	Asia / China
node_1519035	Asia / China
node_1519036	Asia / China
node_1519039	Asia / China
EPI_ISL_493161	Asia / China
EPI_ISL_500463	South America / Brazil
node_1519041	Asia / China
EPI_ISL_402128	Asia / China
EPI_ISL_428473	Asia / China
EPI_ISL_416399	Asia / China
EPI_ISL_406798	Asia / China
node_1519044	Asia / China
EPI_ISL_454908	Asia / China
node_1519047	Asia / China
node_1519048	Asia / China
EPI_ISL_493167	Asia / China
EPI_ISL_493176	Asia / China
node_1519246	Asia / China
node_1519249	Asia / China
node_1519252	Asia / China
EPI_ISL_6951249	Asia / China
EPI_ISL_10497481	Asia / China
EPI_ISL_402119	Asia / China
EPI_ISL_10497479	Asia / China
EPI_ISL_413852	Asia / China
EPI_ISL_418515	Asia / China
EPI_ISL_421229	Asia / China
EPI_ISL_407313	Asia / China
EPI_ISL_493170	Asia / China
EPI_ISL_1014684	Asia / Iran
EPI_ISL_428455	Asia / China
EPI_ISL_406800	Asia / China
EPI_ISL_416376	Asia / China
EPI_ISL_403929	Asia / China
EPI_ISL_418441	Asia / China
EPI_ISL_418514	Asia / China
EPI_ISL_418511	Asia / China
EPI_ISL_418503	Asia / China
EPI_ISL_408481	Asia / China
EPI_ISL_455375	Asia / China
EPI_ISL_455397	Asia / China
EPI_ISL_455680	Asia / China
EPI_ISL_418512	Asia / China
EPI_ISL_406538	Asia / China
EPI_ISL_416046	Asia / China
EPI_ISL_421226	Asia / China
EPI_ISL_402129	Asia / China
EPI_ISL_458133	Asia / Bangladesh
EPI_ISL_529214	Asia / China
EPI_ISL_415711	Asia / China
EPI_ISL_418502	Asia / China
EPI_ISL_418504	Asia / China
EPI_ISL_404228	Asia / China
EPI_ISL_406970	Asia / China
EPI_ISL_421232	Asia / China
EPI_ISL_421227	Asia / China
EPI_ISL_408488	Asia / China
EPI_ISL_450444	Asia / China
EPI_ISL_455379	Asia / China
EPI_ISL_528055	Europe / Switzerland
EPI_ISL_421231	Asia / China
EPI_ISL_413866	Asia / China
EPI_ISL_428469	Asia / China
EPI_ISL_455386	Asia / China
EPI_ISL_493164	Asia / China
EPI_ISL_418510	Asia / China
EPI_ISL_418509	Asia / China
EPI_ISL_418508	Asia / China
EPI_ISL_421233	Asia / China
EPI_ISL_421230	Asia / China
EPI_ISL_418513	Asia / China
EPI_ISL_421224	Asia / China
EPI_ISL_421228	Asia / China
EPI_ISL_421225	Asia / China
EPI_ISL_455389	Asia / China
EPI_ISL_493177	Asia / China
EPI_ISL_418507	Asia / China
EPI_ISL_493154	Asia / China
EPI_ISL_493157	Asia / China
EPI_ISL_529216	Asia / China
EPI_ISL_1069199	Asia / China
EPI_ISL_414687	Asia / China
EPI_ISL_416404	Asia / China
EPI_ISL_418442	Asia / China
EPI_ISL_418506	Asia / China
EPI_ISL_412899	Asia / China
EPI_ISL_407079	Europe / Finland
EPI_ISL_454946	Asia / China
EPI_ISL_412026	Asia / China
EPI_ISL_529217	Asia / China
EPI_ISL_402124	Asia / China
EPI_ISL_411953	Asia / China
EPI_ISL_408479	Asia / China
EPI_ISL_406716	Asia / China
EPI_ISL_406717	Asia / China
EPI_ISL_429140	Europe / Russia
EPI_ISL_430297	Africa / South Africa
EPI_ISL_451338	Asia / China
EPI_ISL_451344	Asia / China
EPI_ISL_451385	Asia / China
EPI_ISL_451387	Asia / China
EPI_ISL_451388	Asia / China
EPI_ISL_451392	Asia / China
EPI_ISL_451398	Asia / China
EPI_ISL_452329	Asia / China
EPI_ISL_452351	Asia / China
EPI_ISL_452332	Asia / China
EPI_ISL_452358	Asia / China
EPI_ISL_452360	Asia / China
EPI_ISL_454904	Asia / China
EPI_ISL_454912	Asia / China
EPI_ISL_454918	Asia / China
EPI_ISL_454928	Asia / China
EPI_ISL_454933	Asia / China
EPI_ISL_454940	Asia / China
EPI_ISL_454941	Asia / China
EPI_ISL_454954	Asia / China
EPI_ISL_454955	Asia / China
EPI_ISL_454956	Asia / China
EPI_ISL_454963	Asia / China
EPI_ISL_454980	Asia / China
EPI_ISL_454981	Asia / China
EPI_ISL_1069207	Asia / China
EPI_ISL_1069208	Asia / China
EPI_ISL_1069216	Asia / China
EPI_ISL_1081197	Asia / China
EPI_ISL_1081196	Asia / China
EPI_ISL_1081195	Asia / China
EPI_ISL_1081326	Asia / China
EPI_ISL_1081340	Asia / China
EPI_ISL_1081331	Asia / China
EPI_ISL_1081311	Asia / China
EPI_ISL_1081310	Asia / China
EPI_ISL_1081324	Asia / China
EPI_ISL_1081291	Asia / China
EPI_ISL_416389	Asia / China
EPI_ISL_1069193	Asia / China
node_1.polytomy_100	Europe / Netherlands
node_1.polytomy_72	England
node_1.polytomy_94	Europe / Italy
node_1.polytomy_45	Asia / Indonesia
node_1.polytomy_48	Asia / Japan
node_1.polytomy_140	Scotland
