tip,cluster,timepoint
EPI_ISL_1092976,1,C
EPI_ISL_909909,1,C
EPI_ISL_1975392,2,C
EPI_ISL_1975354,2,C
EPI_ISL_10128286,2,C
EPI_ISL_2239139,2,C
EPI_ISL_1475149,2,C
EPI_ISL_2239088,2,C
EPI_ISL_1252901,3,C
EPI_ISL_1975700,4,C
EPI_ISL_1132815,5,C
EPI_ISL_1132816,5,C
EPI_ISL_1132817,5,C
EPI_ISL_1096222,6,C
EPI_ISL_1096219,6,C
EPI_ISL_1180516,6,C
EPI_ISL_1096217,6,C
EPI_ISL_1166537,6,C
EPI_ISL_1193451,7,C
EPI_ISL_1364485,7,C
EPI_ISL_1193453,7,C
EPI_ISL_1191247,8,C
EPI_ISL_1975423,8,C
EPI_ISL_1001221,8,C
EPI_ISL_1252310,8,C
EPI_ISL_1975954,8,C
EPI_ISL_1358166,8,C
EPI_ISL_1191405,8,C
EPI_ISL_1299376,8,C
EPI_ISL_1191404,8,C
EPI_ISL_1092889,8,C
EPI_ISL_1252311,8,C
EPI_ISL_1191401,8,C
EPI_ISL_1911124,8,C
EPI_ISL_1911131,8,C
EPI_ISL_1975487,8,C
EPI_ISL_1911150,8,C
EPI_ISL_1398678,8,C
EPI_ISL_1975671,8,C
EPI_ISL_1132600,8,C
EPI_ISL_1092891,8,C
EPI_ISL_1196833,8,C
EPI_ISL_1398670,8,C
EPI_ISL_1911137,8,C
EPI_ISL_2239040,8,C
EPI_ISL_1191238,8,C
EPI_ISL_1911155,8,C
EPI_ISL_1975472,8,C
EPI_ISL_1196806,8,C
EPI_ISL_1191408,8,C
EPI_ISL_1180455,8,C
EPI_ISL_2239051,8,C
EPI_ISL_1180440,8,C
EPI_ISL_1180441,8,C
EPI_ISL_1092908,8,C
EPI_ISL_1911134,8,C
EPI_ISL_1911130,8,C
EPI_ISL_1911140,8,C
EPI_ISL_1975502,8,C
EPI_ISL_2239143,8,C
EPI_ISL_1092910,8,C
EPI_ISL_959764,8,C
EPI_ISL_1092905,8,C
EPI_ISL_1891392,8,C
EPI_ISL_1911139,8,C
EPI_ISL_1092899,8,C
EPI_ISL_837394,8,C
EPI_ISL_1398703,8,C
EPI_ISL_1164161,8,C
EPI_ISL_1891383,8,C
EPI_ISL_1358165,8,C
EPI_ISL_1911129,8,C
EPI_ISL_1196621,8,C
EPI_ISL_1164006,8,C
EPI_ISL_1911138,8,C
EPI_ISL_1092897,8,C
EPI_ISL_1911128,8,C
EPI_ISL_1180454,8,C
EPI_ISL_1911148,8,C
EPI_ISL_1191400,8,C
EPI_ISL_1911152,8,C
EPI_ISL_1092888,8,C
EPI_ISL_1911125,8,C
EPI_ISL_1092893,8,C
EPI_ISL_1196818,8,C
EPI_ISL_1911141,8,C
EPI_ISL_1976065,8,C
EPI_ISL_1196658,8,C
EPI_ISL_1911144,8,C
EPI_ISL_1398791,8,C
EPI_ISL_1132603,8,C
EPI_ISL_1191407,8,C
EPI_ISL_1252309,8,C
EPI_ISL_1960841,8,C
EPI_ISL_1180583,8,C
EPI_ISL_1196624,8,C
EPI_ISL_1976132,8,C
EPI_ISL_1891360,8,C
EPI_ISL_2239052,8,C
EPI_ISL_1191403,8,C
EPI_ISL_959832,8,C
EPI_ISL_1164163,8,C
EPI_ISL_1092894,8,C
EPI_ISL_1092892,8,C
EPI_ISL_1975484,8,C
EPI_ISL_1299357,8,C
EPI_ISL_1191402,8,C
EPI_ISL_1252314,8,C
EPI_ISL_1196533,8,C
EPI_ISL_1092906,8,C
EPI_ISL_1191399,8,C
EPI_ISL_1911156,8,C
EPI_ISL_1191406,8,C
EPI_ISL_1552309,8,C
EPI_ISL_1092898,8,C
EPI_ISL_1196623,8,C
EPI_ISL_1911133,8,C
EPI_ISL_1132602,8,C
EPI_ISL_1092890,8,C
EPI_ISL_1092903,8,C
EPI_ISL_1180641,8,C
EPI_ISL_1975320,9,C
EPI_ISL_1299374,10,C
EPI_ISL_735387,11,C
EPI_ISL_1975330,11,C
EPI_ISL_1975920,11,C
EPI_ISL_1975504,11,C
EPI_ISL_1975838,11,C
EPI_ISL_789089,11,C
EPI_ISL_1191236,12,C
EPI_ISL_1397262,12,C
EPI_ISL_1397260,12,C
EPI_ISL_1358164,12,C
EPI_ISL_1180644,12,C
EPI_ISL_1191331,12,C
EPI_ISL_1191303,12,C
EPI_ISL_1180657,12,C
EPI_ISL_1191234,12,C
EPI_ISL_1397264,12,C
EPI_ISL_1117760,13,C
EPI_ISL_1358167,13,C
EPI_ISL_1252307,14,C
EPI_ISL_778823,14,C
EPI_ISL_1358168,15,C
EPI_ISL_1196484,15,C
EPI_ISL_1180292,15,C
EPI_ISL_1092904,15,C
EPI_ISL_1180297,15,C
EPI_ISL_1180566,15,C
EPI_ISL_875686,15,C
EPI_ISL_1180328,15,C
EPI_ISL_1398663,15,C
EPI_ISL_1358163,15,C
EPI_ISL_1118927,15,C
EPI_ISL_1191311,15,C
EPI_ISL_1092907,15,C
EPI_ISL_1398745,16,C
EPI_ISL_1398671,16,C
EPI_ISL_1252312,16,C
EPI_ISL_1252313,16,C
EPI_ISL_1975647,17,C
