tip,cluster,timepoint
EPI_ISL_10174017,1,E
EPI_ISL_10178453,2,E
EPI_ISL_10175130,2,E
EPI_ISL_10174898,2,E
EPI_ISL_10175823,2,E
EPI_ISL_9554199,2,E
EPI_ISL_10174376,3,E
EPI_ISL_10175150,4,E
EPI_ISL_10174761,4,E
EPI_ISL_10173704,4,E
EPI_ISL_10172417,4,E
EPI_ISL_10173436,4,E
EPI_ISL_10175772,4,E
EPI_ISL_10174244,4,E
EPI_ISL_10175379,4,E
EPI_ISL_10173625,4,E
EPI_ISL_10170750,4,E
EPI_ISL_10174443,4,E
EPI_ISL_10176290,4,E
EPI_ISL_10174129,4,E
EPI_ISL_10170749,4,E
EPI_ISL_10175521,4,E
EPI_ISL_10174239,4,E
EPI_ISL_9554309,4,E
EPI_ISL_10175459,4,E
EPI_ISL_10175167,4,E
EPI_ISL_10173763,4,E
EPI_ISL_10176267,4,E
EPI_ISL_10174509,4,E
EPI_ISL_10174747,4,E
EPI_ISL_10175465,4,E
EPI_ISL_10177001,4,E
EPI_ISL_10175227,4,E
EPI_ISL_9310889,5,E
EPI_ISL_8510051,6,E
EPI_ISL_10176638,7,E
EPI_ISL_9125215,8,E
EPI_ISL_9554062,9,E
EPI_ISL_9554363,10,E
EPI_ISL_9850235,11,E
EPI_ISL_10118089,12,E
EPI_ISL_9614236,13,E
EPI_ISL_9964779,14,E
EPI_ISL_10177726,15,E
EPI_ISL_10177747,15,E
EPI_ISL_10177724,15,E
EPI_ISL_10174418,16,E
EPI_ISL_9311045,16,E
EPI_ISL_9310990,16,E
EPI_ISL_10174421,16,E
EPI_ISL_10175336,16,E
EPI_ISL_10173715,17,E
EPI_ISL_10178418,18,E
EPI_ISL_9791660,19,E
EPI_ISL_9791633,19,E
EPI_ISL_9461711,19,E
EPI_ISL_9015161,19,E
EPI_ISL_10007657,19,E
EPI_ISL_9735336,19,E
EPI_ISL_8509840,20,E
EPI_ISL_9554379,21,E
EPI_ISL_10007477,22,E
EPI_ISL_11450023,22,E
EPI_ISL_9791473,22,E
EPI_ISL_9791636,23,E
EPI_ISL_10178260,23,E
EPI_ISL_9125154,24,E
EPI_ISL_11548641,25,E
EPI_ISL_11548643,25,E
EPI_ISL_8350189,26,E
EPI_ISL_9310890,27,E
EPI_ISL_10177065,28,E
EPI_ISL_9015228,29,E
EPI_ISL_11662961,30,E
EPI_ISL_10068363,30,E
EPI_ISL_9015287,31,E
EPI_ISL_9014851,32,E
EPI_ISL_10177205,33,E
EPI_ISL_10177210,33,E
EPI_ISL_10887460,34,E
EPI_ISL_10118166,34,E
EPI_ISL_11375791,34,E
EPI_ISL_9614303,35,E
EPI_ISL_10739572,35,E
EPI_ISL_10739574,35,E
EPI_ISL_9614034,35,E
EPI_ISL_11450182,36,E
EPI_ISL_10174883,37,E
EPI_ISL_10989083,38,E
EPI_ISL_10739853,38,E
EPI_ISL_10674084,38,E
EPI_ISL_10851818,38,E
EPI_ISL_9461747,39,E
EPI_ISL_9461765,40,E
EPI_ISL_10068441,41,E
EPI_ISL_9125216,42,E
EPI_ISL_9461726,43,E
EPI_ISL_10118324,44,E
EPI_ISL_9850049,45,E
EPI_ISL_10007583,45,E
EPI_ISL_10068448,46,E
EPI_ISL_9554195,47,E
EPI_ISL_10584593,48,E
EPI_ISL_11450168,48,E
EPI_ISL_11450164,48,E
EPI_ISL_9035966,49,E
EPI_ISL_9514947,50,E
EPI_ISL_10739708,51,E
EPI_ISL_9310651,52,E
EPI_ISL_9514937,53,E
EPI_ISL_10007699,54,E
EPI_ISL_9735076,55,E
EPI_ISL_10739558,56,E
EPI_ISL_9791627,57,E
EPI_ISL_9791461,58,E
EPI_ISL_10739601,58,E
EPI_ISL_9812832,59,E
EPI_ISL_10035020,60,E
EPI_ISL_10007510,61,E
EPI_ISL_10034944,62,E
EPI_ISL_10034992,63,E
EPI_ISL_10035285,64,E
EPI_ISL_8509848,65,E
EPI_ISL_10068352,66,E
EPI_ISL_10068435,67,E
EPI_ISL_10007480,68,E
EPI_ISL_9964751,69,E
EPI_ISL_10584598,70,E
EPI_ISL_10175988,70,E
EPI_ISL_10117951,70,E
EPI_ISL_10175543,71,E
EPI_ISL_10179144,72,E
EPI_ISL_9613874,72,E
EPI_ISL_9310601,73,E
EPI_ISL_10851823,74,E
EPI_ISL_10851847,75,E
EPI_ISL_9554257,76,E
EPI_ISL_11663101,77,E
EPI_ISL_10176679,78,E
EPI_ISL_9554183,79,E
EPI_ISL_10175959,80,E
EPI_ISL_10035332,81,E
EPI_ISL_10178765,82,E
EPI_ISL_10176200,83,E
EPI_ISL_8723105,83,E
EPI_ISL_10007571,84,E
EPI_ISL_9461724,85,E
EPI_ISL_9693261,86,E
EPI_ISL_9735181,86,E
EPI_ISL_9125150,87,E
EPI_ISL_10007696,88,E
EPI_ISL_8350209,88,E
EPI_ISL_9461740,88,E
EPI_ISL_10851857,89,E
EPI_ISL_10887501,89,E
EPI_ISL_10851861,89,E
EPI_ISL_10989110,89,E
EPI_ISL_10176034,90,E
EPI_ISL_9554121,91,E
EPI_ISL_9554212,92,E
EPI_ISL_9414862,93,E
EPI_ISL_10007464,94,E
EPI_ISL_9735083,95,E
EPI_ISL_10673974,95,E
EPI_ISL_10177970,95,E
EPI_ISL_10989094,95,E
EPI_ISL_9414883,95,E
EPI_ISL_10584608,95,E
EPI_ISL_9735274,95,E
EPI_ISL_10739572,95,E
EPI_ISL_11375894,95,E
EPI_ISL_10739585,95,E
EPI_ISL_10989095,95,E
EPI_ISL_10584720,95,E
EPI_ISL_9125181,95,E
EPI_ISL_8510168,95,E
EPI_ISL_10176066,95,E
EPI_ISL_10178053,95,E
EPI_ISL_10007586,95,E
EPI_ISL_9310645,95,E
EPI_ISL_11548649,95,E
EPI_ISL_10989004,95,E
EPI_ISL_9614196,95,E
EPI_ISL_10739557,95,E
EPI_ISL_10673914,95,E
EPI_ISL_10174885,95,E
EPI_ISL_9850107,95,E
EPI_ISL_11375964,95,E
EPI_ISL_9014927,95,E
EPI_ISL_9310957,95,E
EPI_ISL_9014930,95,E
EPI_ISL_10177424,95,E
EPI_ISL_10887475,95,E
EPI_ISL_9791573,95,E
EPI_ISL_9160400,95,E
EPI_ISL_10674097,95,E
EPI_ISL_9614068,95,E
EPI_ISL_11662918,95,E
EPI_ISL_9850002,95,E
EPI_ISL_9554185,95,E
EPI_ISL_9614154,95,E
EPI_ISL_9461787,95,E
EPI_ISL_9614218,95,E
EPI_ISL_10035264,95,E
EPI_ISL_10178588,95,E
EPI_ISL_9015313,95,E
EPI_ISL_8723115,95,E
EPI_ISL_9461663,95,E
EPI_ISL_11662912,95,E
EPI_ISL_8723467,95,E
EPI_ISL_8510448,95,E
EPI_ISL_10174711,95,E
EPI_ISL_9554132,95,E
EPI_ISL_9243884,95,E
EPI_ISL_9614118,95,E
EPI_ISL_9614205,95,E
EPI_ISL_9614303,95,E
EPI_ISL_8350190,95,E
EPI_ISL_9614163,95,E
EPI_ISL_9015112,95,E
EPI_ISL_9614336,95,E
EPI_ISL_9614166,95,E
EPI_ISL_10068423,95,E
EPI_ISL_9735163,95,E
EPI_ISL_9813060,95,E
EPI_ISL_9415001,95,E
EPI_ISL_9160385,95,E
EPI_ISL_8510020,95,E
EPI_ISL_9849743,95,E
EPI_ISL_10118168,95,E
EPI_ISL_9125184,95,E
EPI_ISL_9015246,95,E
EPI_ISL_11662997,95,E
EPI_ISL_10068406,95,E
EPI_ISL_10118036,95,E
EPI_ISL_10851751,95,E
EPI_ISL_10674064,95,E
EPI_ISL_9614142,95,E
EPI_ISL_9735371,95,E
EPI_ISL_10176044,95,E
EPI_ISL_10177594,95,E
EPI_ISL_10739573,95,E
EPI_ISL_9614060,95,E
EPI_ISL_9310593,95,E
EPI_ISL_9962562,95,E
EPI_ISL_9461655,95,E
EPI_ISL_10739543,95,E
EPI_ISL_9461682,95,E
EPI_ISL_11375911,95,E
EPI_ISL_9850013,95,E
EPI_ISL_9014872,95,E
EPI_ISL_9614081,95,E
EPI_ISL_10175340,95,E
EPI_ISL_10177810,95,E
EPI_ISL_10176706,95,E
EPI_ISL_9614321,95,E
EPI_ISL_9735082,95,E
EPI_ISL_9614112,95,E
EPI_ISL_9125078,95,E
EPI_ISL_8723317,95,E
EPI_ISL_9813616,95,E
EPI_ISL_8509871,95,E
EPI_ISL_10177388,95,E
EPI_ISL_11450020,95,E
EPI_ISL_9849837,95,E
EPI_ISL_10174975,95,E
EPI_ISL_9693329,95,E
EPI_ISL_11548650,95,E
EPI_ISL_9015186,95,E
EPI_ISL_10068412,95,E
EPI_ISL_9791584,95,E
EPI_ISL_9160466,95,E
EPI_ISL_10739885,95,E
EPI_ISL_9735080,95,E
EPI_ISL_9614201,95,E
EPI_ISL_10178059,95,E
EPI_ISL_9125086,95,E
EPI_ISL_9849809,95,E
EPI_ISL_9310914,95,E
EPI_ISL_10739579,95,E
EPI_ISL_9964772,95,E
EPI_ISL_10739688,95,E
EPI_ISL_10739536,95,E
EPI_ISL_8510180,95,E
EPI_ISL_8350090,95,E
EPI_ISL_8928798,95,E
EPI_ISL_10007522,95,E
EPI_ISL_9849946,95,E
EPI_ISL_10178189,95,E
EPI_ISL_9735139,95,E
EPI_ISL_10851783,95,E
EPI_ISL_9791586,95,E
EPI_ISL_9414861,95,E
EPI_ISL_9415024,95,E
EPI_ISL_9243929,95,E
EPI_ISL_9554198,95,E
EPI_ISL_10068424,95,E
EPI_ISL_10176552,95,E
EPI_ISL_10584710,95,E
EPI_ISL_9310866,95,E
EPI_ISL_10176509,95,E
EPI_ISL_11375774,95,E
EPI_ISL_8510012,95,E
EPI_ISL_10584636,95,E
EPI_ISL_10179697,95,E
EPI_ISL_8928717,95,E
EPI_ISL_10117982,95,E
EPI_ISL_9850187,95,E
EPI_ISL_10176395,95,E
EPI_ISL_11619062,95,E
EPI_ISL_9414858,95,E
EPI_ISL_9311068,95,E
EPI_ISL_9735226,95,E
EPI_ISL_9613997,95,E
EPI_ISL_10177709,95,E
EPI_ISL_9693324,95,E
EPI_ISL_9735106,95,E
EPI_ISL_10851834,95,E
EPI_ISL_10177272,95,E
EPI_ISL_11663070,95,E
EPI_ISL_9461713,95,E
EPI_ISL_9461712,95,E
EPI_ISL_10007619,95,E
EPI_ISL_9414956,95,E
EPI_ISL_9015300,95,E
EPI_ISL_10118076,95,E
EPI_ISL_9614215,95,E
EPI_ISL_8722524,95,E
EPI_ISL_9849798,95,E
EPI_ISL_9554075,95,E
EPI_ISL_10176129,95,E
EPI_ISL_10175425,95,E
EPI_ISL_9849826,95,E
EPI_ISL_10988998,95,E
EPI_ISL_9693379,95,E
EPI_ISL_9015152,95,E
EPI_ISL_10118050,95,E
EPI_ISL_9118969,95,E
EPI_ISL_9850204,95,E
EPI_ISL_9414888,95,E
EPI_ISL_9311044,95,E
EPI_ISL_8903256,95,E
EPI_ISL_10989029,95,E
EPI_ISL_9160386,95,E
EPI_ISL_10175728,95,E
EPI_ISL_10007541,95,E
EPI_ISL_10887465,95,E
EPI_ISL_9735312,95,E
EPI_ISL_9310860,95,E
EPI_ISL_10174220,95,E
EPI_ISL_9461707,95,E
EPI_ISL_10674006,95,E
EPI_ISL_8723053,95,E
EPI_ISL_10739660,95,E
EPI_ISL_9514966,95,E
EPI_ISL_10176108,95,E
EPI_ISL_10176995,95,E
EPI_ISL_10177599,95,E
EPI_ISL_9735263,95,E
EPI_ISL_10851726,95,E
EPI_ISL_8509862,95,E
EPI_ISL_10851837,95,E
EPI_ISL_9849786,95,E
EPI_ISL_10177556,95,E
EPI_ISL_9310963,95,E
EPI_ISL_10673910,95,E
EPI_ISL_10584557,95,E
EPI_ISL_9614192,95,E
EPI_ISL_10851707,95,E
EPI_ISL_9125189,95,E
EPI_ISL_10175410,95,E
EPI_ISL_10887442,95,E
EPI_ISL_9791666,95,E
EPI_ISL_9125079,95,E
EPI_ISL_9125112,95,E
EPI_ISL_10177635,95,E
EPI_ISL_10179024,95,E
EPI_ISL_9693384,95,E
EPI_ISL_9015259,95,E
EPI_ISL_10178460,95,E
EPI_ISL_10175467,95,E
EPI_ISL_8903370,95,E
EPI_ISL_11375876,95,E
EPI_ISL_8903429,95,E
EPI_ISL_10739649,95,E
EPI_ISL_9693265,95,E
EPI_ISL_9554336,95,E
EPI_ISL_9735318,95,E
EPI_ISL_9514964,95,E
EPI_ISL_9614044,95,E
EPI_ISL_10118277,95,E
EPI_ISL_9310924,95,E
EPI_ISL_10007617,95,E
EPI_ISL_11450359,95,E
EPI_ISL_9515004,95,E
EPI_ISL_9312002,95,E
EPI_ISL_9310657,95,E
EPI_ISL_9515026,95,E
EPI_ISL_10673962,95,E
EPI_ISL_10117978,95,E
EPI_ISL_9515005,95,E
EPI_ISL_9850067,95,E
EPI_ISL_10174652,95,E
EPI_ISL_10673897,95,E
EPI_ISL_9849831,95,E
EPI_ISL_10584583,95,E
EPI_ISL_11662921,95,E
EPI_ISL_10177598,95,E
EPI_ISL_8350172,95,E
EPI_ISL_9461714,95,E
EPI_ISL_10177805,95,E
EPI_ISL_10007526,95,E
EPI_ISL_8509956,95,E
EPI_ISL_9310892,95,E
EPI_ISL_9614316,95,E
EPI_ISL_7845763,95,E
EPI_ISL_9514997,95,E
EPI_ISL_10177255,95,E
EPI_ISL_10739687,95,E
EPI_ISL_9310618,95,E
EPI_ISL_10007527,95,E
EPI_ISL_9311025,95,E
EPI_ISL_11450155,95,E
EPI_ISL_10118332,95,E
EPI_ISL_9414923,95,E
EPI_ISL_8510121,95,E
EPI_ISL_10068447,95,E
EPI_ISL_10851831,95,E
EPI_ISL_10117976,95,E
EPI_ISL_7845727,95,E
EPI_ISL_9015195,95,E
EPI_ISL_10178359,95,E
EPI_ISL_9735138,95,E
EPI_ISL_8723108,95,E
EPI_ISL_11375979,95,E
EPI_ISL_10007462,95,E
EPI_ISL_9514944,95,E
EPI_ISL_10177815,95,E
EPI_ISL_10584571,95,E
EPI_ISL_9310607,95,E
EPI_ISL_9160397,95,E
EPI_ISL_11450026,95,E
EPI_ISL_10851835,95,E
EPI_ISL_11548746,95,E
EPI_ISL_10176925,95,E
EPI_ISL_9735109,95,E
EPI_ISL_10007482,95,E
EPI_ISL_10584638,95,E
EPI_ISL_10178196,95,E
EPI_ISL_8903147,95,E
EPI_ISL_8929039,95,E
EPI_ISL_10988999,95,E
EPI_ISL_10674009,95,E
EPI_ISL_9125091,95,E
EPI_ISL_9015117,95,E
EPI_ISL_10118306,95,E
EPI_ISL_9614034,95,E
EPI_ISL_10118227,95,E
EPI_ISL_10174133,95,E
EPI_ISL_9735098,95,E
EPI_ISL_8903150,95,E
EPI_ISL_10176716,95,E
EPI_ISL_9015190,95,E
EPI_ISL_9015111,95,E
EPI_ISL_9014853,95,E
EPI_ISL_10739712,95,E
EPI_ISL_9735183,95,E
EPI_ISL_9791460,95,E
EPI_ISL_11662965,95,E
EPI_ISL_8509861,95,E
EPI_ISL_8722471,95,E
EPI_ISL_9735159,95,E
