tip,cluster,timepoint
EPI_ISL_10174017,1,E
EPI_ISL_10174898,2,E
EPI_ISL_10178453,2,E
EPI_ISL_10175823,2,E
EPI_ISL_10175130,2,E
EPI_ISL_9554199,2,E
EPI_ISL_10174376,3,E
EPI_ISL_10175521,4,E
EPI_ISL_10172417,4,E
EPI_ISL_10174747,4,E
EPI_ISL_10170749,4,E
EPI_ISL_10173625,4,E
EPI_ISL_10175459,4,E
EPI_ISL_10174761,4,E
EPI_ISL_10175167,4,E
EPI_ISL_10173436,4,E
EPI_ISL_10175150,4,E
EPI_ISL_10170750,4,E
EPI_ISL_10175227,4,E
EPI_ISL_10174244,4,E
EPI_ISL_10176290,4,E
EPI_ISL_10173704,4,E
EPI_ISL_10173763,4,E
EPI_ISL_10175379,4,E
EPI_ISL_10174443,4,E
EPI_ISL_10174129,4,E
EPI_ISL_10174509,4,E
EPI_ISL_10175772,4,E
EPI_ISL_10174239,4,E
EPI_ISL_10175465,4,E
EPI_ISL_10177001,4,E
EPI_ISL_10176267,4,E
EPI_ISL_9554309,4,E
EPI_ISL_9310889,5,E
EPI_ISL_8510051,6,E
EPI_ISL_10176638,7,E
EPI_ISL_9125215,8,E
EPI_ISL_9554062,9,E
EPI_ISL_9554363,10,E
EPI_ISL_9850235,11,E
EPI_ISL_10118089,12,E
EPI_ISL_9614236,13,E
EPI_ISL_9964779,14,E
EPI_ISL_10177724,15,E
EPI_ISL_10177747,15,E
EPI_ISL_10177726,15,E
EPI_ISL_9311045,16,E
EPI_ISL_10175336,16,E
EPI_ISL_10174421,16,E
EPI_ISL_10174418,16,E
EPI_ISL_9310990,16,E
EPI_ISL_10173715,17,E
EPI_ISL_10178418,18,E
EPI_ISL_10007657,19,E
EPI_ISL_9015161,19,E
EPI_ISL_9461711,19,E
EPI_ISL_9791633,19,E
EPI_ISL_9735336,19,E
EPI_ISL_9791660,19,E
EPI_ISL_8509840,20,E
EPI_ISL_9554379,21,E
EPI_ISL_11450023,22,E
EPI_ISL_9791473,22,E
EPI_ISL_10007477,22,E
EPI_ISL_10178260,23,E
EPI_ISL_9791636,23,E
EPI_ISL_9125154,24,E
EPI_ISL_11548643,25,E
EPI_ISL_11548641,25,E
EPI_ISL_8350189,26,E
EPI_ISL_9310890,27,E
EPI_ISL_10177065,28,E
EPI_ISL_9015228,29,E
EPI_ISL_10068363,30,E
EPI_ISL_11662961,30,E
EPI_ISL_9015287,31,E
EPI_ISL_9014851,32,E
EPI_ISL_10177205,33,E
EPI_ISL_10177210,33,E
EPI_ISL_11375791,34,E
EPI_ISL_10118166,34,E
EPI_ISL_10887460,34,E
EPI_ISL_9614034,35,E
EPI_ISL_10739574,35,E
EPI_ISL_10739572,35,E
EPI_ISL_9614303,35,E
EPI_ISL_11450182,36,E
EPI_ISL_10174883,37,E
EPI_ISL_10989083,38,E
EPI_ISL_10739853,38,E
EPI_ISL_10851818,38,E
EPI_ISL_10674084,38,E
EPI_ISL_9461747,39,E
EPI_ISL_9461765,40,E
EPI_ISL_10068441,41,E
EPI_ISL_9125216,42,E
EPI_ISL_9461726,43,E
EPI_ISL_10118324,44,E
EPI_ISL_10007583,45,E
EPI_ISL_9850049,45,E
EPI_ISL_10068448,46,E
EPI_ISL_9554195,47,E
EPI_ISL_11450168,48,E
EPI_ISL_11450164,48,E
EPI_ISL_10584593,48,E
EPI_ISL_9035966,49,E
EPI_ISL_9514947,50,E
EPI_ISL_10739708,51,E
EPI_ISL_9310651,52,E
EPI_ISL_9514937,53,E
EPI_ISL_10007699,54,E
EPI_ISL_9735076,55,E
EPI_ISL_10739558,56,E
