tip,cluster,timepoint
EPI_ISL_639881,1,B
EPI_ISL_764406,2,B
EPI_ISL_680244,3,B
EPI_ISL_680246,3,B
EPI_ISL_680227,3,B
EPI_ISL_671882,4,B
EPI_ISL_764405,5,B
EPI_ISL_764430,5,B
EPI_ISL_764404,5,B
EPI_ISL_578299,6,B
EPI_ISL_671918,7,B
EPI_ISL_671914,7,B
EPI_ISL_671874,7,B
EPI_ISL_1055116,7,B
EPI_ISL_768786,7,B
EPI_ISL_1055108,7,B
EPI_ISL_1055139,7,B
EPI_ISL_1055141,7,B
EPI_ISL_1055128,7,B
EPI_ISL_1055132,7,B
EPI_ISL_1055134,7,B
EPI_ISL_671937,7,B
EPI_ISL_1055138,7,B
EPI_ISL_1055143,7,B
EPI_ISL_764388,7,B
EPI_ISL_1055131,7,B
EPI_ISL_732486,7,B
EPI_ISL_768776,7,B
EPI_ISL_671875,7,B
EPI_ISL_1055115,7,B
EPI_ISL_671926,8,B
EPI_ISL_680349,9,B
EPI_ISL_764127,9,B
EPI_ISL_652312,9,B
EPI_ISL_764399,9,B
EPI_ISL_680387,9,B
EPI_ISL_627541,9,B
EPI_ISL_639850,10,B
EPI_ISL_596906,11,B
EPI_ISL_578275,11,B
EPI_ISL_578262,11,B
EPI_ISL_578273,11,B
EPI_ISL_596903,11,B
EPI_ISL_764400,12,B
EPI_ISL_768783,12,B
EPI_ISL_680427,12,B
EPI_ISL_680298,12,B
EPI_ISL_680400,12,B
EPI_ISL_627561,12,B
EPI_ISL_680373,12,B
EPI_ISL_627525,12,B
EPI_ISL_652308,12,B
EPI_ISL_680275,12,B
EPI_ISL_680343,12,B
EPI_ISL_651097,12,B
EPI_ISL_680377,12,B
EPI_ISL_680399,12,B
EPI_ISL_528452,13,B
EPI_ISL_680209,14,B
EPI_ISL_680307,14,B
EPI_ISL_680436,14,B
EPI_ISL_627568,14,B
EPI_ISL_680260,14,B
EPI_ISL_680353,14,B
EPI_ISL_732475,14,B
EPI_ISL_680211,15,B
EPI_ISL_680282,16,B
EPI_ISL_652314,17,B
EPI_ISL_764417,18,B
EPI_ISL_652331,19,B
EPI_ISL_627524,20,B
EPI_ISL_764402,21,B
EPI_ISL_764419,22,B
EPI_ISL_680376,23,B
EPI_ISL_627565,23,B
EPI_ISL_764427,23,B
EPI_ISL_680324,23,B
EPI_ISL_680199,23,B
EPI_ISL_627546,24,B
EPI_ISL_680368,24,B
EPI_ISL_680351,24,B
EPI_ISL_680241,24,B
EPI_ISL_652320,24,B
EPI_ISL_732474,25,B
EPI_ISL_671907,25,B
EPI_ISL_732523,25,B
EPI_ISL_652332,25,B
EPI_ISL_652307,25,B
EPI_ISL_671925,25,B
EPI_ISL_652310,25,B
EPI_ISL_671906,25,B
EPI_ISL_732517,25,B
EPI_ISL_680354,25,B
EPI_ISL_652309,25,B
EPI_ISL_652305,25,B
EPI_ISL_652333,25,B
EPI_ISL_732489,25,B
EPI_ISL_732468,25,B
EPI_ISL_652335,25,B
EPI_ISL_671904,25,B
EPI_ISL_680327,25,B
EPI_ISL_671905,25,B
EPI_ISL_732467,25,B
EPI_ISL_627529,25,B
EPI_ISL_528480,26,B
EPI_ISL_732476,26,B
EPI_ISL_768773,26,B
EPI_ISL_639863,27,B
EPI_ISL_639846,27,B
EPI_ISL_639851,27,B
EPI_ISL_578328,27,B
EPI_ISL_680279,28,B
EPI_ISL_680280,28,B
EPI_ISL_764442,29,B
EPI_ISL_680360,29,B
EPI_ISL_680335,30,B
EPI_ISL_627550,30,B
EPI_ISL_680198,30,B
EPI_ISL_627539,30,B
EPI_ISL_680337,30,B
EPI_ISL_764395,30,B
EPI_ISL_764443,30,B
EPI_ISL_627567,30,B
EPI_ISL_764418,30,B
EPI_ISL_652325,30,B
EPI_ISL_764397,30,B
EPI_ISL_652326,30,B
EPI_ISL_764412,30,B
EPI_ISL_680408,30,B
EPI_ISL_764410,30,B
EPI_ISL_680205,30,B
EPI_ISL_680346,30,B
EPI_ISL_680334,30,B
EPI_ISL_680432,30,B
EPI_ISL_652321,30,B
EPI_ISL_627531,30,B
EPI_ISL_680317,30,B
EPI_ISL_596910,30,B
EPI_ISL_652336,30,B
EPI_ISL_680435,30,B
EPI_ISL_680365,30,B
EPI_ISL_585212,30,B
EPI_ISL_627552,30,B
EPI_ISL_768771,30,B
EPI_ISL_764387,30,B
EPI_ISL_764401,30,B
EPI_ISL_768767,30,B
EPI_ISL_627523,30,B
EPI_ISL_652306,30,B
EPI_ISL_768765,30,B
EPI_ISL_680250,30,B
EPI_ISL_680409,30,B
EPI_ISL_627563,30,B
EPI_ISL_627564,30,B
EPI_ISL_764411,30,B
EPI_ISL_652324,30,B
EPI_ISL_680423,30,B
EPI_ISL_680424,30,B
EPI_ISL_764441,30,B
EPI_ISL_578281,30,B
EPI_ISL_578313,30,B
EPI_ISL_578331,30,B
EPI_ISL_764391,30,B
EPI_ISL_671931,30,B
EPI_ISL_680414,30,B
EPI_ISL_764392,30,B
EPI_ISL_764421,30,B
EPI_ISL_764420,30,B
EPI_ISL_764389,30,B
EPI_ISL_680362,30,B
EPI_ISL_652330,30,B
EPI_ISL_764390,30,B
EPI_ISL_680431,30,B
EPI_ISL_680338,30,B
EPI_ISL_680364,30,B
EPI_ISL_764429,30,B
EPI_ISL_652317,30,B
EPI_ISL_680213,30,B
EPI_ISL_627528,30,B
EPI_ISL_612547,30,B
EPI_ISL_764415,30,B
EPI_ISL_764409,30,B
EPI_ISL_680339,30,B
EPI_ISL_680316,30,B
EPI_ISL_764407,30,B
EPI_ISL_627559,30,B
EPI_ISL_680309,30,B
EPI_ISL_627530,30,B
EPI_ISL_627553,30,B
EPI_ISL_680336,30,B
EPI_ISL_680340,30,B
EPI_ISL_652329,30,B
EPI_ISL_627544,30,B
EPI_ISL_652318,30,B
EPI_ISL_742123,30,B
EPI_ISL_680232,30,B
EPI_ISL_627566,30,B
EPI_ISL_680332,30,B
EPI_ISL_764414,30,B
EPI_ISL_764393,30,B
EPI_ISL_578279,30,B
EPI_ISL_680367,30,B
EPI_ISL_652304,30,B
EPI_ISL_680429,30,B
EPI_ISL_764398,30,B
EPI_ISL_680235,30,B
EPI_ISL_680215,30,B
EPI_ISL_627549,30,B
EPI_ISL_627569,30,B
EPI_ISL_680426,30,B
EPI_ISL_764422,30,B
EPI_ISL_764426,30,B
EPI_ISL_680201,30,B
EPI_ISL_791316,30,B
EPI_ISL_627070,30,B
EPI_ISL_764413,30,B
EPI_ISL_627533,30,B
EPI_ISL_680371,30,B
EPI_ISL_680245,30,B
EPI_ISL_680428,30,B
EPI_ISL_764416,30,B
EPI_ISL_652322,30,B
EPI_ISL_680372,30,B
EPI_ISL_578329,30,B
EPI_ISL_627538,30,B
EPI_ISL_612546,30,B
EPI_ISL_680231,30,B
EPI_ISL_652313,30,B
EPI_ISL_627527,30,B
EPI_ISL_596897,31,B
EPI_ISL_596918,31,B
EPI_ISL_671910,31,B
EPI_ISL_596925,31,B
EPI_ISL_578259,31,B
EPI_ISL_596900,31,B
EPI_ISL_732462,31,B
EPI_ISL_596890,31,B
EPI_ISL_671920,31,B
EPI_ISL_596895,31,B
EPI_ISL_596899,31,B
EPI_ISL_639879,31,B
EPI_ISL_671911,31,B
EPI_ISL_768769,31,B
EPI_ISL_578293,31,B
EPI_ISL_732479,31,B
EPI_ISL_768766,31,B
EPI_ISL_732483,31,B
EPI_ISL_768781,31,B
EPI_ISL_732478,31,B
EPI_ISL_671934,31,B
EPI_ISL_732521,31,B
EPI_ISL_671938,31,B
EPI_ISL_671915,31,B
EPI_ISL_639890,31,B
EPI_ISL_732490,31,B
EPI_ISL_639880,31,B
EPI_ISL_596917,31,B
EPI_ISL_596914,31,B
EPI_ISL_578288,31,B
EPI_ISL_671919,31,B
EPI_ISL_578292,31,B
EPI_ISL_596909,31,B
EPI_ISL_732481,31,B
EPI_ISL_671916,31,B
EPI_ISL_768768,31,B
EPI_ISL_596921,31,B
EPI_ISL_768782,31,B
EPI_ISL_596911,31,B
EPI_ISL_578287,31,B
EPI_ISL_639902,31,B
EPI_ISL_596927,31,B
EPI_ISL_596894,31,B
EPI_ISL_596904,31,B
EPI_ISL_596893,31,B
EPI_ISL_578267,31,B
EPI_ISL_578295,31,B
EPI_ISL_596924,31,B
EPI_ISL_578286,31,B
EPI_ISL_578294,31,B
EPI_ISL_596902,31,B
EPI_ISL_732458,31,B
EPI_ISL_578285,31,B
EPI_ISL_596913,31,B
EPI_ISL_732465,31,B
EPI_ISL_671894,31,B
EPI_ISL_578289,31,B
EPI_ISL_671889,31,B
EPI_ISL_732470,31,B
EPI_ISL_578297,31,B
EPI_ISL_596901,31,B
EPI_ISL_596898,31,B
EPI_ISL_578332,31,B
EPI_ISL_627521,32,B
EPI_ISL_578272,33,B
EPI_ISL_1055137,33,B
EPI_ISL_680223,33,B
EPI_ISL_1055146,33,B
EPI_ISL_680396,33,B
EPI_ISL_680393,33,B
EPI_ISL_732461,33,B
EPI_ISL_671909,33,B
EPI_ISL_680219,33,B
EPI_ISL_680392,33,B
EPI_ISL_680224,33,B
EPI_ISL_671880,33,B
EPI_ISL_732466,33,B
EPI_ISL_639874,33,B
EPI_ISL_764424,33,B
EPI_ISL_578263,33,B
EPI_ISL_732469,33,B
EPI_ISL_639859,33,B
EPI_ISL_768774,33,B
EPI_ISL_680239,33,B
EPI_ISL_578296,33,B
EPI_ISL_1055133,33,B
EPI_ISL_578257,33,B
EPI_ISL_732485,33,B
EPI_ISL_671923,33,B
EPI_ISL_732477,33,B
EPI_ISL_680417,33,B
EPI_ISL_680214,33,B
EPI_ISL_627535,33,B
