tip,cluster,timepoint
EPI_ISL_573760,1,B
EPI_ISL_639881,2,B
EPI_ISL_764406,3,B
EPI_ISL_680227,4,B
EPI_ISL_680244,4,B
EPI_ISL_680246,4,B
EPI_ISL_671882,5,B
EPI_ISL_764430,6,B
EPI_ISL_764405,6,B
EPI_ISL_764404,6,B
EPI_ISL_822309,7,B
EPI_ISL_578299,8,B
EPI_ISL_1055134,9,B
EPI_ISL_1055128,9,B
EPI_ISL_1055138,9,B
EPI_ISL_1055116,9,B
EPI_ISL_671875,9,B
EPI_ISL_1055108,9,B
EPI_ISL_1055141,9,B
EPI_ISL_764388,9,B
EPI_ISL_768786,9,B
EPI_ISL_1055132,9,B
EPI_ISL_1055139,9,B
EPI_ISL_530751,9,B
EPI_ISL_1055143,9,B
EPI_ISL_1055115,9,B
EPI_ISL_671937,9,B
EPI_ISL_1055131,9,B
EPI_ISL_768776,9,B
EPI_ISL_671918,9,B
EPI_ISL_671874,9,B
EPI_ISL_671914,9,B
EPI_ISL_732486,9,B
EPI_ISL_2751091,10,B
EPI_ISL_671926,10,B
EPI_ISL_530646,11,B
EPI_ISL_540127,11,B
EPI_ISL_842112,12,B
EPI_ISL_842115,12,B
EPI_ISL_764399,12,B
EPI_ISL_680349,12,B
EPI_ISL_627541,12,B
EPI_ISL_842116,12,B
EPI_ISL_764127,12,B
EPI_ISL_842107,12,B
EPI_ISL_652312,12,B
EPI_ISL_680387,12,B
EPI_ISL_639850,13,B
EPI_ISL_596903,14,B
EPI_ISL_578262,14,B
EPI_ISL_578275,14,B
EPI_ISL_578273,14,B
EPI_ISL_596906,14,B
EPI_ISL_680377,15,B
EPI_ISL_680298,15,B
EPI_ISL_680400,15,B
EPI_ISL_680275,15,B
EPI_ISL_651097,15,B
EPI_ISL_764400,15,B
EPI_ISL_680427,15,B
EPI_ISL_680343,15,B
EPI_ISL_627525,15,B
EPI_ISL_652308,15,B
EPI_ISL_680373,15,B
EPI_ISL_627561,15,B
EPI_ISL_680399,15,B
EPI_ISL_768783,15,B
EPI_ISL_530623,16,B
EPI_ISL_530626,17,B
EPI_ISL_528452,17,B
EPI_ISL_531387,17,B
EPI_ISL_531428,17,B
EPI_ISL_680260,18,B
EPI_ISL_627568,18,B
EPI_ISL_732475,18,B
EPI_ISL_680436,18,B
EPI_ISL_680353,18,B
EPI_ISL_680307,18,B
EPI_ISL_680209,18,B
EPI_ISL_680211,19,B
EPI_ISL_822313,20,B
EPI_ISL_680282,21,B
EPI_ISL_652314,22,B
EPI_ISL_764417,23,B
EPI_ISL_652331,24,B
EPI_ISL_627524,25,B
EPI_ISL_764402,26,B
EPI_ISL_764419,27,B
EPI_ISL_680199,28,B
EPI_ISL_680324,28,B
EPI_ISL_627565,28,B
EPI_ISL_994653,28,B
EPI_ISL_764427,28,B
EPI_ISL_680376,28,B
