tip,cluster,timepoint
EPI_ISL_10943349,1,F
EPI_ISL_10943369,2,F
EPI_ISL_10632641,2,F
EPI_ISL_10887430,2,F
EPI_ISL_10585184,3,F
EPI_ISL_11460558,4,F
EPI_ISL_11461915,4,F
EPI_ISL_10671241,4,F
EPI_ISL_10671310,5,F
EPI_ISL_11256099,5,F
EPI_ISL_11264521,5,F
EPI_ISL_11312151,5,F
EPI_ISL_10585138,5,F
EPI_ISL_10585063,6,F
EPI_ISL_10989077,7,F
EPI_ISL_11023589,7,F
EPI_ISL_11111369,7,F
EPI_ISL_10632804,7,F
EPI_ISL_11508173,8,F
EPI_ISL_10585135,9,F
EPI_ISL_11460223,10,F
EPI_ISL_9554369,11,F
EPI_ISL_11461232,12,F
EPI_ISL_11461337,12,F
EPI_ISL_11461197,12,F
EPI_ISL_10632789,13,F
EPI_ISL_11450071,13,F
EPI_ISL_10632817,14,F
EPI_ISL_10632807,14,F
EPI_ISL_10035032,15,F
EPI_ISL_11461275,16,F
EPI_ISL_11460879,17,F
EPI_ISL_9813354,18,F
EPI_ISL_10585015,19,F
EPI_ISL_11058658,20,F
EPI_ISL_11508228,21,F
EPI_ISL_11508177,22,F
EPI_ISL_11256045,22,F
EPI_ISL_11508105,22,F
EPI_ISL_10943251,23,F
EPI_ISL_10943250,23,F
EPI_ISL_11508288,23,F
EPI_ISL_11508291,23,F
EPI_ISL_10943259,23,F
EPI_ISL_11256113,24,F
EPI_ISL_11256128,24,F
EPI_ISL_11461023,24,F
EPI_ISL_11582804,24,F
EPI_ISL_11256054,24,F
EPI_ISL_11508306,24,F
EPI_ISL_11256130,24,F
EPI_ISL_11508280,24,F
EPI_ISL_11508163,24,F
EPI_ISL_11508243,24,F
EPI_ISL_11582801,25,F
EPI_ISL_11256141,25,F
EPI_ISL_11256109,26,F
EPI_ISL_11508137,27,F
EPI_ISL_11508048,27,F
EPI_ISL_10943242,28,F
EPI_ISL_11450344,28,F
EPI_ISL_11461832,28,F
EPI_ISL_11023595,28,F
EPI_ISL_11058330,29,F
EPI_ISL_10857773,29,F
EPI_ISL_11461497,29,F
EPI_ISL_10858165,29,F
EPI_ISL_11460534,29,F
EPI_ISL_11058502,29,F
EPI_ISL_11581697,30,F
EPI_ISL_11222231,31,F
EPI_ISL_11450347,31,F
EPI_ISL_11111355,31,F
EPI_ISL_11023584,31,F
EPI_ISL_11450036,31,F
EPI_ISL_10585179,32,F
EPI_ISL_11460426,33,F
EPI_ISL_11265524,34,F
EPI_ISL_11508161,35,F
EPI_ISL_11058648,35,F
EPI_ISL_11508293,35,F
EPI_ISL_10632812,35,F
EPI_ISL_11256108,36,F
EPI_ISL_10855246,36,F
EPI_ISL_11023498,37,F
EPI_ISL_10881545,38,F
EPI_ISL_11375780,39,F
EPI_ISL_11508045,40,F
EPI_ISL_11312119,41,F
EPI_ISL_11508123,42,F
EPI_ISL_11311933,43,F
EPI_ISL_11582844,43,F
EPI_ISL_11460958,43,F
EPI_ISL_11222240,43,F
EPI_ISL_11311147,43,F
EPI_ISL_11460374,43,F
EPI_ISL_11582861,43,F
EPI_ISL_11508271,43,F
EPI_ISL_11311591,43,F
EPI_ISL_11508289,43,F
EPI_ISL_11450046,43,F
EPI_ISL_11582911,43,F
EPI_ISL_11582815,43,F
EPI_ISL_11023531,44,F
EPI_ISL_10632776,45,F
EPI_ISL_10887400,46,F
EPI_ISL_10632741,47,F
EPI_ISL_10477032,48,F
EPI_ISL_10998760,48,F
EPI_ISL_10887484,49,F
EPI_ISL_11461493,50,F
EPI_ISL_11462002,50,F
EPI_ISL_11461615,51,F
EPI_ISL_11461493,51,F
EPI_ISL_11582833,51,F
EPI_ISL_11462002,51,F
EPI_ISL_10887488,51,F
EPI_ISL_10881096,51,F
EPI_ISL_11582838,51,F
EPI_ISL_11460514,51,F
EPI_ISL_11311609,52,F
EPI_ISL_11461564,53,F
EPI_ISL_11058499,54,F
EPI_ISL_11222113,55,F
EPI_ISL_11222193,56,F
EPI_ISL_11450057,57,F
EPI_ISL_11375811,57,F
EPI_ISL_11312182,57,F
EPI_ISL_11312183,57,F
EPI_ISL_11508114,57,F
EPI_ISL_11461470,57,F
EPI_ISL_11460540,57,F
EPI_ISL_11462033,57,F
EPI_ISL_10585143,57,F
EPI_ISL_10880800,57,F
EPI_ISL_11450064,57,F
EPI_ISL_11508094,57,F
EPI_ISL_11461437,57,F
EPI_ISL_11110614,57,F
EPI_ISL_11265492,57,F
EPI_ISL_10475872,57,F
EPI_ISL_11450038,57,F
EPI_ISL_11508109,57,F
EPI_ISL_10034991,57,F
EPI_ISL_11058269,57,F
EPI_ISL_11508265,57,F
EPI_ISL_11256047,57,F
EPI_ISL_11375802,57,F
EPI_ISL_10988989,57,F
EPI_ISL_10632774,57,F
EPI_ISL_10988911,57,F
EPI_ISL_11508107,57,F
EPI_ISL_10880791,57,F
EPI_ISL_11450066,57,F
EPI_ISL_10585168,57,F
EPI_ISL_10997770,57,F
EPI_ISL_11311520,57,F
EPI_ISL_11058503,57,F
EPI_ISL_11375893,57,F
EPI_ISL_11023600,57,F
EPI_ISL_11508116,57,F
EPI_ISL_10585229,57,F
EPI_ISL_11328810,57,F
EPI_ISL_10632748,57,F
EPI_ISL_9554124,57,F
EPI_ISL_11582871,57,F
EPI_ISL_11312053,57,F
EPI_ISL_11508267,57,F
EPI_ISL_11023563,57,F
EPI_ISL_11311565,57,F
EPI_ISL_10988979,57,F
EPI_ISL_10632762,57,F
EPI_ISL_11450193,57,F
EPI_ISL_10585172,57,F
EPI_ISL_10578688,57,F
EPI_ISL_10179173,57,F
EPI_ISL_11375810,57,F
EPI_ISL_10988982,57,F
EPI_ISL_11508117,57,F
EPI_ISL_11582866,57,F
EPI_ISL_11508113,57,F
EPI_ISL_11023481,58,F
EPI_ISL_11023483,59,F
EPI_ISL_11450251,60,F
EPI_ISL_11450257,60,F
EPI_ISL_11508077,60,F
EPI_ISL_11508079,60,F
EPI_ISL_11508078,60,F
EPI_ISL_11450049,60,F
EPI_ISL_11508155,60,F
EPI_ISL_11450279,60,F
EPI_ISL_11450039,60,F
EPI_ISL_11508071,60,F
EPI_ISL_10632810,61,F
EPI_ISL_10632803,61,F
EPI_ISL_11508169,61,F
EPI_ISL_10739613,62,F
EPI_ISL_10887489,62,F
EPI_ISL_11582802,63,F
EPI_ISL_11450339,63,F
EPI_ISL_11464113,64,F
EPI_ISL_11023497,65,F
EPI_ISL_11460900,66,F
EPI_ISL_11463416,66,F
EPI_ISL_11508310,66,F
EPI_ISL_11463023,66,F
EPI_ISL_11461459,66,F
EPI_ISL_11460902,66,F
EPI_ISL_11461864,66,F
EPI_ISL_11464046,67,F
EPI_ISL_11508131,68,F
EPI_ISL_11508121,68,F
EPI_ISL_11256107,68,F
EPI_ISL_11462059,69,F
EPI_ISL_11256111,69,F
EPI_ISL_11256084,70,F
EPI_ISL_11023454,71,F
EPI_ISL_11265181,72,F
EPI_ISL_11222281,73,F
EPI_ISL_10475947,74,F
EPI_ISL_10477016,74,F
EPI_ISL_11461918,75,F
EPI_ISL_11264146,76,F
EPI_ISL_11264163,76,F
EPI_ISL_11582938,77,F
EPI_ISL_11460293,78,F
EPI_ISL_11460255,78,F
EPI_ISL_11000415,79,F
EPI_ISL_11461542,80,F
EPI_ISL_11312061,81,F
EPI_ISL_10671370,82,F
EPI_ISL_11023604,83,F
EPI_ISL_11111313,84,F
EPI_ISL_11450041,84,F
EPI_ISL_11461256,84,F
EPI_ISL_11312025,84,F
EPI_ISL_11582941,85,F
EPI_ISL_11508255,86,F
EPI_ISL_11256029,87,F
EPI_ISL_11508290,88,F
EPI_ISL_11582845,89,F
EPI_ISL_10177528,90,F
EPI_ISL_11058265,91,F
EPI_ISL_10578810,92,F
EPI_ISL_10179061,92,F
EPI_ISL_10179064,92,F
EPI_ISL_11508051,92,F
EPI_ISL_10671336,92,F
EPI_ISL_11461595,92,F
EPI_ISL_11375836,93,F
EPI_ISL_11508275,93,F
EPI_ISL_11375845,93,F
EPI_ISL_11582914,93,F
EPI_ISL_11256056,93,F
EPI_ISL_11256140,93,F
EPI_ISL_11375842,93,F
EPI_ISL_11375856,93,F
EPI_ISL_11375850,93,F
EPI_ISL_11582881,93,F
EPI_ISL_11375844,93,F
EPI_ISL_11508160,94,F
EPI_ISL_10585142,95,F
EPI_ISL_11311641,96,F
EPI_ISL_11256098,97,F
EPI_ISL_11312158,98,F
EPI_ISL_11256046,98,F
EPI_ISL_11462036,98,F
EPI_ISL_11311191,99,F
EPI_ISL_11311637,99,F
EPI_ISL_11460313,99,F
EPI_ISL_11460464,99,F
EPI_ISL_11311461,99,F
EPI_ISL_10881103,100,F
EPI_ISL_10004118,101,F
EPI_ISL_10578659,102,F
EPI_ISL_9893066,103,F
EPI_ISL_9848364,104,F
EPI_ISL_11450043,104,F
EPI_ISL_10180063,104,F
EPI_ISL_11312111,105,F
EPI_ISL_10178449,106,F
EPI_ISL_10476076,106,F
EPI_ISL_10178319,106,F
EPI_ISL_11058415,107,F
EPI_ISL_10997708,107,F
EPI_ISL_11058391,108,F
EPI_ISL_10858253,108,F
EPI_ISL_11459737,108,F
EPI_ISL_11110543,108,F
EPI_ISL_11459867,109,F
EPI_ISL_11459841,109,F
EPI_ISL_11222161,110,F
EPI_ISL_11311601,110,F
EPI_ISL_11256048,111,F
EPI_ISL_11508303,111,F
EPI_ISL_11256117,111,F
EPI_ISL_11023501,112,F
EPI_ISL_11508303,112,F
EPI_ISL_11256117,112,F
EPI_ISL_11023522,112,F
EPI_ISL_11256048,112,F
EPI_ISL_10585196,112,F
EPI_ISL_9554321,112,F
EPI_ISL_10858810,113,F
EPI_ISL_11582870,114,F
EPI_ISL_11508099,115,F
EPI_ISL_11582858,115,F
EPI_ISL_10989073,116,F
EPI_ISL_10989091,116,F
EPI_ISL_11311473,117,F
EPI_ISL_11058214,117,F
EPI_ISL_11058226,117,F
EPI_ISL_11222180,118,F
EPI_ISL_11110458,119,F
EPI_ISL_11461195,120,F
EPI_ISL_10578775,120,F
EPI_ISL_10578826,120,F
EPI_ISL_11460545,120,F
EPI_ISL_11222049,120,F
EPI_ISL_11461319,120,F
EPI_ISL_11222309,120,F
EPI_ISL_10670842,120,F
EPI_ISL_11461153,120,F
EPI_ISL_11110758,121,F
EPI_ISL_11450369,122,F
EPI_ISL_11450370,122,F
EPI_ISL_11582886,122,F
EPI_ISL_10670837,122,F
EPI_ISL_10670823,122,F
EPI_ISL_11582852,122,F
EPI_ISL_10671430,122,F
EPI_ISL_10857159,122,F
EPI_ISL_10179031,123,F
EPI_ISL_10177818,123,F
EPI_ISL_10179313,123,F
EPI_ISL_11663000,123,F
EPI_ISL_10502831,123,F
EPI_ISL_10880848,124,F
EPI_ISL_10997642,125,F
EPI_ISL_11461204,126,F
EPI_ISL_11311640,127,F
EPI_ISL_11000220,128,F
EPI_ISL_11023566,129,F
EPI_ISL_10180267,130,F
EPI_ISL_11311057,130,F
EPI_ISL_11058489,130,F
EPI_ISL_10180035,130,F
EPI_ISL_11058475,130,F
EPI_ISL_10178906,130,F
EPI_ISL_11459890,130,F
EPI_ISL_10857210,130,F
EPI_ISL_10670968,130,F
EPI_ISL_10671442,130,F
EPI_ISL_11311204,130,F
EPI_ISL_11311076,130,F
EPI_ISL_11311571,130,F
EPI_ISL_11463197,130,F
