tip,cluster,timepoint
EPI_ISL_2363379,1,D
EPI_ISL_2533637,1,D
EPI_ISL_2193937,1,D
EPI_ISL_2612914,1,D
EPI_ISL_2601122,1,D
EPI_ISL_2932216,1,D
EPI_ISL_2533721,1,D
EPI_ISL_2131943,1,D
EPI_ISL_3118180,1,D
EPI_ISL_2862426,1,D
EPI_ISL_3045687,1,D
EPI_ISL_2612916,1,D
EPI_ISL_3011318,1,D
EPI_ISL_2491125,1,D
EPI_ISL_2363042,1,D
EPI_ISL_3118107,1,D
EPI_ISL_2601392,1,D
EPI_ISL_2601132,1,D
EPI_ISL_2932143,1,D
EPI_ISL_2399961,1,D
EPI_ISL_3356050,1,D
EPI_ISL_2193895,1,D
EPI_ISL_2862419,1,D
EPI_ISL_1960669,1,D
EPI_ISL_10130557,1,D
EPI_ISL_2601347,1,D
EPI_ISL_2491120,1,D
EPI_ISL_2491127,1,D
EPI_ISL_2789529,1,D
EPI_ISL_2399977,1,D
EPI_ISL_2932215,1,D
EPI_ISL_2399964,1,D
EPI_ISL_2627686,1,D
EPI_ISL_2363324,1,D
EPI_ISL_2612907,1,D
EPI_ISL_2601207,1,D
EPI_ISL_2984292,1,D
EPI_ISL_2932202,1,D
EPI_ISL_2612917,1,D
EPI_ISL_2932226,1,D
EPI_ISL_2363194,1,D
EPI_ISL_2533690,1,D
EPI_ISL_2241268,1,D
EPI_ISL_2933888,1,D
EPI_ISL_2789522,1,D
EPI_ISL_2710625,1,D
EPI_ISL_1960854,1,D
EPI_ISL_2789509,1,D
EPI_ISL_2932236,1,D
EPI_ISL_2789544,1,D
EPI_ISL_2533638,1,D
EPI_ISL_3011426,1,D
EPI_ISL_2240899,1,D
EPI_ISL_2399978,1,D
EPI_ISL_2491123,1,D
EPI_ISL_3011283,1,D
EPI_ISL_2789506,1,D
EPI_ISL_2932142,1,D
EPI_ISL_2363291,1,D
EPI_ISL_2088054,1,D
EPI_ISL_2131879,1,D
EPI_ISL_2932237,1,D
EPI_ISL_3088219,1,D
EPI_ISL_2601203,1,D
EPI_ISL_2363380,1,D
EPI_ISL_1960795,1,D
EPI_ISL_2533639,1,D
EPI_ISL_2612923,1,D
EPI_ISL_2491119,1,D
EPI_ISL_2363211,1,D
EPI_ISL_3136237,1,D
EPI_ISL_2932225,1,D
EPI_ISL_2601124,1,D
EPI_ISL_2789525,1,D
EPI_ISL_1904703,1,D
EPI_ISL_2241056,1,D
EPI_ISL_2132215,1,D
EPI_ISL_3136217,1,D
EPI_ISL_2601191,1,D
EPI_ISL_2491124,1,D
EPI_ISL_2601402,1,D
EPI_ISL_3136218,1,D
EPI_ISL_2932127,1,D
EPI_ISL_2932199,1,D
EPI_ISL_3011509,1,D
EPI_ISL_2241253,1,D
EPI_ISL_2710640,1,D
EPI_ISL_2533635,1,D
EPI_ISL_3011408,1,D
EPI_ISL_2363322,1,D
EPI_ISL_2932242,1,D
EPI_ISL_2601214,1,D
EPI_ISL_2399979,1,D
EPI_ISL_2240912,1,D
EPI_ISL_2087953,1,D
EPI_ISL_1806953,2,D
EPI_ISL_10127019,2,D
EPI_ISL_2748530,2,D
EPI_ISL_2131897,3,D
EPI_ISL_2193835,3,D
EPI_ISL_2240882,3,D
EPI_ISL_2240935,3,D
EPI_ISL_2652000,4,D
EPI_ISL_2246823,5,D
EPI_ISL_2363072,6,D
EPI_ISL_3381798,7,D
EPI_ISL_2808800,8,D
EPI_ISL_3381549,9,D
EPI_ISL_3080771,10,D
EPI_ISL_3672014,11,D
EPI_ISL_2399793,12,D
EPI_ISL_3136425,12,D
EPI_ISL_3058350,12,D
EPI_ISL_10133250,12,D
EPI_ISL_3356230,12,D
EPI_ISL_3298531,12,D
EPI_ISL_10130219,12,D
EPI_ISL_2710712,12,D
EPI_ISL_2862402,12,D
EPI_ISL_3118034,12,D
EPI_ISL_2893151,12,D
EPI_ISL_3716969,12,D
EPI_ISL_3011282,12,D
EPI_ISL_2363199,12,D
EPI_ISL_10137367,12,D
EPI_ISL_3011580,12,D
EPI_ISL_2984390,12,D
EPI_ISL_3136417,12,D
EPI_ISL_3298555,12,D
EPI_ISL_3535353,12,D
EPI_ISL_2893050,12,D
EPI_ISL_3356123,12,D
EPI_ISL_2932002,12,D
EPI_ISL_10139330,12,D
EPI_ISL_2932222,12,D
EPI_ISL_3535393,12,D
EPI_ISL_2447771,12,D
EPI_ISL_2399958,12,D
EPI_ISL_3381489,12,D
EPI_ISL_2984258,12,D
EPI_ISL_2931980,12,D
EPI_ISL_2984388,12,D
EPI_ISL_2627588,12,D
EPI_ISL_3011431,12,D
EPI_ISL_10129812,12,D
EPI_ISL_3154479,12,D
EPI_ISL_10129676,12,D
EPI_ISL_2893205,12,D
EPI_ISL_2933892,12,D
EPI_ISL_2862416,12,D
EPI_ISL_10133322,12,D
EPI_ISL_2975100,12,D
EPI_ISL_2984404,12,D
EPI_ISL_3204953,12,D
EPI_ISL_3045710,12,D
EPI_ISL_2984411,12,D
EPI_ISL_2601120,12,D
EPI_ISL_3739475,12,D
EPI_ISL_2932034,12,D
EPI_ISL_2862403,12,D
EPI_ISL_3011400,12,D
EPI_ISL_2612926,12,D
EPI_ISL_10134926,12,D
EPI_ISL_10129862,12,D
EPI_ISL_3247546,12,D
EPI_ISL_2931929,12,D
EPI_ISL_2131856,12,D
EPI_ISL_3136424,12,D
EPI_ISL_2627615,12,D
EPI_ISL_2158539,12,D
EPI_ISL_2131950,12,D
EPI_ISL_3154697,12,D
EPI_ISL_2974957,12,D
EPI_ISL_2612922,12,D
EPI_ISL_2612912,12,D
EPI_ISL_10134305,12,D
EPI_ISL_2974962,12,D
EPI_ISL_10135405,12,D
EPI_ISL_3535476,12,D
EPI_ISL_2984294,13,D
EPI_ISL_3058482,13,D
EPI_ISL_2931951,13,D
EPI_ISL_2968244,13,D
EPI_ISL_2931998,13,D
EPI_ISL_3088027,13,D
EPI_ISL_2789707,13,D
EPI_ISL_3205171,13,D
EPI_ISL_3356062,13,D
EPI_ISL_3154464,13,D
EPI_ISL_2789717,13,D
EPI_ISL_3088178,13,D
EPI_ISL_3118191,13,D
EPI_ISL_3088261,13,D
EPI_ISL_3118083,13,D
EPI_ISL_3591136,13,D
EPI_ISL_3136365,13,D
EPI_ISL_3205073,13,D
EPI_ISL_3154520,13,D
EPI_ISL_3088285,13,D
EPI_ISL_3058306,13,D
EPI_ISL_2931990,13,D
EPI_ISL_3535425,13,D
EPI_ISL_2789596,13,D
EPI_ISL_3058338,13,D
EPI_ISL_2862391,13,D
EPI_ISL_3468052,13,D
EPI_ISL_3045769,13,D
EPI_ISL_3088074,13,D
EPI_ISL_3374861,13,D
EPI_ISL_2931934,13,D
EPI_ISL_3045745,13,D
EPI_ISL_3204965,13,D
EPI_ISL_3154691,13,D
EPI_ISL_3011507,13,D
EPI_ISL_2938311,13,D
EPI_ISL_2931981,13,D
EPI_ISL_2968246,13,D
EPI_ISL_3011550,13,D
EPI_ISL_2984379,13,D
EPI_ISL_3154473,13,D
EPI_ISL_3088105,13,D
EPI_ISL_2862361,13,D
EPI_ISL_2862396,13,D
EPI_ISL_3011473,13,D
EPI_ISL_3058428,13,D
EPI_ISL_3011482,13,D
EPI_ISL_2931946,13,D
EPI_ISL_3058401,13,D
EPI_ISL_3118157,13,D
EPI_ISL_2862359,13,D
EPI_ISL_3118015,13,D
EPI_ISL_3118070,13,D
EPI_ISL_3247629,13,D
EPI_ISL_3136396,13,D
EPI_ISL_2932178,13,D
EPI_ISL_2968264,13,D
EPI_ISL_3030754,13,D
EPI_ISL_3088267,13,D
EPI_ISL_3118051,13,D
EPI_ISL_3058471,13,D
EPI_ISL_3118068,13,D
EPI_ISL_3088163,13,D
EPI_ISL_3356053,13,D
EPI_ISL_2893060,13,D
EPI_ISL_3205302,13,D
EPI_ISL_3058437,13,D
EPI_ISL_3088166,13,D
EPI_ISL_3136355,13,D
EPI_ISL_2893038,13,D
EPI_ISL_2932238,13,D
EPI_ISL_3118016,13,D
EPI_ISL_2893138,13,D
EPI_ISL_2862421,13,D
EPI_ISL_3011391,13,D
EPI_ISL_3375062,13,D
EPI_ISL_3298547,13,D
EPI_ISL_2789508,13,D
EPI_ISL_2893180,13,D
EPI_ISL_2968185,13,D
EPI_ISL_3058369,13,D
EPI_ISL_3011422,13,D
EPI_ISL_3136248,13,D
EPI_ISL_2862368,13,D
EPI_ISL_2984366,13,D
EPI_ISL_3045676,13,D
EPI_ISL_3136399,13,D
EPI_ISL_3011409,13,D
EPI_ISL_3011306,13,D
EPI_ISL_2862378,13,D
EPI_ISL_2931932,13,D
EPI_ISL_3205412,13,D
EPI_ISL_3088146,13,D
EPI_ISL_3717012,13,D
EPI_ISL_3154673,13,D
EPI_ISL_2968166,13,D
EPI_ISL_2862379,13,D
EPI_ISL_3374983,13,D
EPI_ISL_3045763,13,D
EPI_ISL_2968259,13,D
EPI_ISL_3118009,13,D
EPI_ISL_3118179,13,D
EPI_ISL_2789553,13,D
EPI_ISL_3253004,13,D
EPI_ISL_3045617,13,D
EPI_ISL_2862373,13,D
EPI_ISL_2893040,13,D
EPI_ISL_3011374,13,D
EPI_ISL_3298503,13,D
EPI_ISL_3087995,13,D
EPI_ISL_2862394,13,D
EPI_ISL_3118025,13,D
EPI_ISL_3088283,13,D
EPI_ISL_3154490,13,D
EPI_ISL_2862407,13,D
EPI_ISL_2789617,13,D
EPI_ISL_3088220,13,D
EPI_ISL_2984417,13,D
EPI_ISL_3011541,13,D
EPI_ISL_2968201,13,D
EPI_ISL_3088200,13,D
EPI_ISL_2984286,13,D
EPI_ISL_2893121,13,D
EPI_ISL_3011547,13,D
EPI_ISL_2968169,13,D
EPI_ISL_2968262,13,D
EPI_ISL_3118166,13,D
EPI_ISL_3118062,13,D
EPI_ISL_2893187,13,D
EPI_ISL_2893082,13,D
EPI_ISL_3118153,13,D
EPI_ISL_3058412,13,D
EPI_ISL_2931930,13,D
EPI_ISL_2984299,13,D
EPI_ISL_3247718,13,D
EPI_ISL_3011423,13,D
EPI_ISL_3136443,13,D
EPI_ISL_3118080,13,D
EPI_ISL_3058353,13,D
EPI_ISL_3717017,13,D
EPI_ISL_3247549,13,D
EPI_ISL_2789618,13,D
EPI_ISL_2984325,13,D
EPI_ISL_2968137,13,D
EPI_ISL_3011511,13,D
EPI_ISL_2862417,13,D
EPI_ISL_3011553,13,D
EPI_ISL_3118174,13,D
EPI_ISL_2931972,13,D
EPI_ISL_3102106,13,D
EPI_ISL_3118101,13,D
EPI_ISL_2931976,13,D
EPI_ISL_2862370,13,D
EPI_ISL_3088241,13,D
EPI_ISL_3088206,13,D
EPI_ISL_3356077,13,D
EPI_ISL_3356231,13,D
EPI_ISL_2984340,13,D
EPI_ISL_2931960,13,D
EPI_ISL_3102108,13,D
EPI_ISL_3030814,13,D
EPI_ISL_3045742,13,D
EPI_ISL_3716967,13,D
EPI_ISL_3045748,13,D
EPI_ISL_3058431,13,D
EPI_ISL_2984296,13,D
EPI_ISL_3356156,13,D
EPI_ISL_3374842,13,D
EPI_ISL_3088050,13,D
EPI_ISL_3058278,13,D
EPI_ISL_3247666,13,D
EPI_ISL_3011477,13,D
EPI_ISL_3087990,13,D
EPI_ISL_2789568,13,D
EPI_ISL_2933909,13,D
EPI_ISL_3045760,13,D
EPI_ISL_3058411,13,D
EPI_ISL_3118045,13,D
EPI_ISL_2968220,13,D
EPI_ISL_3154495,13,D
EPI_ISL_2931978,13,D
EPI_ISL_2932033,13,D
EPI_ISL_3298439,13,D
EPI_ISL_3535338,13,D
EPI_ISL_3205205,13,D
EPI_ISL_3088031,13,D
EPI_ISL_3058324,13,D
EPI_ISL_2862428,13,D
EPI_ISL_3011529,13,D
EPI_ISL_3154624,13,D
EPI_ISL_2862369,13,D
EPI_ISL_3088288,13,D
EPI_ISL_3088156,13,D
EPI_ISL_3535379,13,D
EPI_ISL_2932149,13,D
EPI_ISL_2862360,13,D
EPI_ISL_3088235,13,D
EPI_ISL_3011551,13,D
EPI_ISL_3088281,13,D
EPI_ISL_2789612,13,D
EPI_ISL_3739510,13,D
EPI_ISL_2893165,13,D
EPI_ISL_3011289,13,D
EPI_ISL_2862363,13,D
EPI_ISL_3058450,13,D
EPI_ISL_3011410,13,D
EPI_ISL_2862376,13,D
EPI_ISL_3136388,13,D
EPI_ISL_2931977,13,D
EPI_ISL_3088099,13,D
EPI_ISL_3088133,13,D
EPI_ISL_3118092,13,D
EPI_ISL_3088130,13,D
EPI_ISL_3502994,13,D
EPI_ISL_2789600,13,D
EPI_ISL_2862409,13,D
EPI_ISL_2893196,13,D
EPI_ISL_3058473,13,D
EPI_ISL_3136454,13,D
EPI_ISL_2893076,13,D
EPI_ISL_3011539,13,D
EPI_ISL_2893084,13,D
EPI_ISL_2932047,13,D
EPI_ISL_3154686,13,D
EPI_ISL_2968159,13,D
EPI_ISL_2893047,13,D
EPI_ISL_3247623,13,D
EPI_ISL_2862425,13,D
EPI_ISL_3030913,13,D
EPI_ISL_2931945,13,D
EPI_ISL_3374916,13,D
EPI_ISL_2932026,13,D
EPI_ISL_3088127,13,D
EPI_ISL_3058452,13,D
EPI_ISL_3045746,13,D
EPI_ISL_3205065,13,D
EPI_ISL_2893042,13,D
EPI_ISL_3247765,13,D
EPI_ISL_3030903,13,D
EPI_ISL_3088111,13,D
EPI_ISL_2893091,13,D
EPI_ISL_3205121,13,D
EPI_ISL_2893181,13,D
EPI_ISL_2932170,13,D
EPI_ISL_3253035,13,D
EPI_ISL_2789559,13,D
EPI_ISL_3356144,13,D
EPI_ISL_3591092,13,D
EPI_ISL_3503118,13,D
EPI_ISL_3591110,13,D
EPI_ISL_3205420,13,D
EPI_ISL_2931982,13,D
EPI_ISL_3253042,13,D
EPI_ISL_3030811,13,D
EPI_ISL_2968263,13,D
