tip,cluster,timepoint
EPI_ISL_10943349,1,F
EPI_ISL_10632641,2,F
EPI_ISL_10943369,2,F
EPI_ISL_10887430,2,F
EPI_ISL_10585184,3,F
EPI_ISL_10671241,4,F
EPI_ISL_11461915,4,F
EPI_ISL_11460558,4,F
EPI_ISL_11256099,5,F
EPI_ISL_10671310,5,F
EPI_ISL_11312151,5,F
EPI_ISL_10585138,5,F
EPI_ISL_10585063,6,F
EPI_ISL_10632804,7,F
EPI_ISL_11023589,7,F
EPI_ISL_11111369,7,F
EPI_ISL_10989077,7,F
EPI_ISL_11508173,8,F
EPI_ISL_10585135,9,F
EPI_ISL_11460223,10,F
EPI_ISL_9554369,11,F
EPI_ISL_11461337,12,F
EPI_ISL_11461197,12,F
EPI_ISL_11461232,12,F
EPI_ISL_10632789,13,F
EPI_ISL_11450071,13,F
EPI_ISL_10632807,14,F
EPI_ISL_10632817,14,F
EPI_ISL_10035032,15,F
EPI_ISL_11461275,16,F
EPI_ISL_11460879,17,F
EPI_ISL_10585015,18,F
EPI_ISL_11058658,19,F
EPI_ISL_11508228,20,F
EPI_ISL_11256045,21,F
EPI_ISL_11508105,21,F
EPI_ISL_11508177,21,F
EPI_ISL_11508291,22,F
EPI_ISL_10943251,22,F
EPI_ISL_10943250,22,F
EPI_ISL_11508288,22,F
EPI_ISL_10943259,22,F
EPI_ISL_11582804,23,F
EPI_ISL_11508280,23,F
EPI_ISL_11256130,23,F
EPI_ISL_11256054,23,F
EPI_ISL_11256128,23,F
EPI_ISL_11508163,23,F
EPI_ISL_11256113,23,F
EPI_ISL_11508306,23,F
EPI_ISL_11461023,23,F
EPI_ISL_11508243,23,F
EPI_ISL_11256141,24,F
EPI_ISL_11582801,24,F
EPI_ISL_11256109,25,F
EPI_ISL_11508137,26,F
EPI_ISL_11508048,26,F
EPI_ISL_11023595,27,F
EPI_ISL_11461832,27,F
EPI_ISL_10943242,27,F
EPI_ISL_11450344,27,F
EPI_ISL_11460534,28,F
EPI_ISL_11058502,28,F
EPI_ISL_11058330,28,F
EPI_ISL_11461497,28,F
EPI_ISL_10858165,28,F
EPI_ISL_10857773,28,F
EPI_ISL_11581697,29,F
