tip,cluster,timepoint
EPI_ISL_909909,1,C
EPI_ISL_1092976,1,C
EPI_ISL_1190098,2,C
EPI_ISL_1054522,2,C
EPI_ISL_1264986,2,C
EPI_ISL_1265027,2,C
EPI_ISL_1264954,2,C
EPI_ISL_1116220,2,C
EPI_ISL_10128286,2,C
EPI_ISL_1190028,2,C
EPI_ISL_1265100,2,C
EPI_ISL_1115758,2,C
EPI_ISL_1115767,2,C
EPI_ISL_2239139,2,C
EPI_ISL_1115871,2,C
EPI_ISL_1409662,2,C
EPI_ISL_1265000,2,C
EPI_ISL_1116248,2,C
EPI_ISL_1975354,2,C
EPI_ISL_1189874,2,C
EPI_ISL_1063350,2,C
EPI_ISL_1190284,2,C
EPI_ISL_1063272,2,C
EPI_ISL_1265079,2,C
EPI_ISL_1116211,2,C
EPI_ISL_1264931,2,C
EPI_ISL_2239088,2,C
EPI_ISL_1265036,2,C
EPI_ISL_1116198,2,C
EPI_ISL_1189929,2,C
EPI_ISL_1175095,2,C
EPI_ISL_1520053,2,C
EPI_ISL_1475149,2,C
EPI_ISL_1975392,2,C
EPI_ISL_1115689,3,C
EPI_ISL_1520079,4,C
EPI_ISL_1116411,5,C
EPI_ISL_1252901,6,C
EPI_ISL_1265099,7,C
EPI_ISL_1975700,7,C
EPI_ISL_1132816,8,C
EPI_ISL_1132817,8,C
EPI_ISL_1132815,8,C
EPI_ISL_1096217,9,C
EPI_ISL_1096222,9,C
EPI_ISL_1180516,9,C
EPI_ISL_1096219,9,C
EPI_ISL_1166537,9,C
EPI_ISL_1364485,10,C
EPI_ISL_1193453,10,C
EPI_ISL_1193451,10,C
EPI_ISL_1520071,11,C
EPI_ISL_1911148,11,C
EPI_ISL_1164006,11,C
EPI_ISL_1975472,11,C
EPI_ISL_1911150,11,C
EPI_ISL_1180455,11,C
EPI_ISL_1252311,11,C
EPI_ISL_1911133,11,C
EPI_ISL_1132603,11,C
EPI_ISL_1520085,11,C
EPI_ISL_1520065,11,C
EPI_ISL_1180583,11,C
EPI_ISL_1196533,11,C
EPI_ISL_1196658,11,C
EPI_ISL_1191407,11,C
EPI_ISL_959764,11,C
EPI_ISL_1116227,11,C
EPI_ISL_1164161,11,C
EPI_ISL_1116148,11,C
EPI_ISL_1911130,11,C
EPI_ISL_1911128,11,C
EPI_ISL_1520077,11,C
EPI_ISL_1975484,11,C
EPI_ISL_1960841,11,C
EPI_ISL_1975671,11,C
EPI_ISL_1911152,11,C
EPI_ISL_1191399,11,C
EPI_ISL_1911124,11,C
EPI_ISL_1116393,11,C
EPI_ISL_2239052,11,C
EPI_ISL_1180441,11,C
EPI_ISL_1358165,11,C
EPI_ISL_1911156,11,C
EPI_ISL_1092905,11,C
EPI_ISL_1520048,11,C
EPI_ISL_1092899,11,C
EPI_ISL_1252310,11,C
EPI_ISL_1520056,11,C
EPI_ISL_1175132,11,C
EPI_ISL_1092893,11,C
EPI_ISL_2239051,11,C
EPI_ISL_1092889,11,C
EPI_ISL_1191403,11,C
EPI_ISL_1191405,11,C
EPI_ISL_1092906,11,C
EPI_ISL_1191247,11,C
EPI_ISL_1116234,11,C
EPI_ISL_1265111,11,C
EPI_ISL_1092897,11,C
EPI_ISL_1092908,11,C
EPI_ISL_1191408,11,C
EPI_ISL_1252314,11,C
EPI_ISL_1116176,11,C
EPI_ISL_1911139,11,C
EPI_ISL_1975423,11,C
EPI_ISL_1911155,11,C
EPI_ISL_837394,11,C
EPI_ISL_1132602,11,C
EPI_ISL_1891392,11,C
EPI_ISL_1092892,11,C
EPI_ISL_1191238,11,C
EPI_ISL_1092910,11,C
EPI_ISL_2239143,11,C
EPI_ISL_1191402,11,C
EPI_ISL_1072947,11,C
EPI_ISL_1196621,11,C
EPI_ISL_1180641,11,C
EPI_ISL_959832,11,C
EPI_ISL_1976132,11,C
EPI_ISL_1911125,11,C
EPI_ISL_1975502,11,C
EPI_ISL_1196818,11,C
EPI_ISL_1911141,11,C
EPI_ISL_1191400,11,C
EPI_ISL_1891360,11,C
EPI_ISL_1180440,11,C
EPI_ISL_1911131,11,C
EPI_ISL_1911134,11,C
EPI_ISL_1191406,11,C
EPI_ISL_1132600,11,C
EPI_ISL_1092888,11,C
EPI_ISL_1072802,11,C
EPI_ISL_1092898,11,C
EPI_ISL_1911144,11,C
EPI_ISL_1116424,11,C
EPI_ISL_1092890,11,C
EPI_ISL_1092894,11,C
EPI_ISL_1092891,11,C
EPI_ISL_1975954,11,C
EPI_ISL_1001221,11,C
EPI_ISL_1164163,11,C
EPI_ISL_1196624,11,C
EPI_ISL_1398670,11,C
EPI_ISL_1116398,11,C
EPI_ISL_1552309,11,C
EPI_ISL_1911138,11,C
EPI_ISL_2239040,11,C
EPI_ISL_1299357,11,C
EPI_ISL_1398703,11,C
EPI_ISL_1299376,11,C
EPI_ISL_1911129,11,C
EPI_ISL_1911137,11,C
EPI_ISL_1191401,11,C
EPI_ISL_1358166,11,C
EPI_ISL_1092903,11,C
EPI_ISL_1911140,11,C
EPI_ISL_1196833,11,C
EPI_ISL_1252309,11,C
EPI_ISL_1891383,11,C
EPI_ISL_1196623,11,C
EPI_ISL_1398791,11,C
EPI_ISL_1398678,11,C
EPI_ISL_1196806,11,C
EPI_ISL_1180454,11,C
EPI_ISL_1451247,11,C
EPI_ISL_1976065,11,C
EPI_ISL_1975487,11,C
EPI_ISL_1191404,11,C
EPI_ISL_2127634,12,C
EPI_ISL_1186890,13,C
EPI_ISL_1975320,13,C
EPI_ISL_1299374,14,C
EPI_ISL_1115831,15,C
EPI_ISL_735387,15,C
EPI_ISL_1975838,15,C
EPI_ISL_1115746,15,C
EPI_ISL_1451273,15,C
EPI_ISL_1116207,15,C
EPI_ISL_1046491,15,C
EPI_ISL_1116214,15,C
EPI_ISL_1057815,15,C
EPI_ISL_1975920,15,C
EPI_ISL_999099,15,C
EPI_ISL_1189930,15,C
EPI_ISL_789089,15,C
EPI_ISL_1975504,15,C
EPI_ISL_1265127,15,C
EPI_ISL_1975330,15,C
EPI_ISL_1057803,15,C
EPI_ISL_1180644,16,C
EPI_ISL_1397264,16,C
EPI_ISL_1180657,16,C
EPI_ISL_1358164,16,C
EPI_ISL_1191234,16,C
EPI_ISL_1191236,16,C
EPI_ISL_1191303,16,C
EPI_ISL_1191331,16,C
EPI_ISL_1397260,16,C
EPI_ISL_1397262,16,C
EPI_ISL_1109011,17,C
EPI_ISL_1063218,17,C
EPI_ISL_1115839,17,C
EPI_ISL_1358167,18,C
EPI_ISL_1117760,18,C
EPI_ISL_1252307,19,C
EPI_ISL_778823,19,C
EPI_ISL_1398663,20,C
EPI_ISL_1180566,20,C
EPI_ISL_1118927,20,C
EPI_ISL_1180328,20,C
EPI_ISL_1092907,20,C
EPI_ISL_1180297,20,C
EPI_ISL_1358163,20,C
EPI_ISL_1358168,20,C
EPI_ISL_875686,20,C
EPI_ISL_1180292,20,C
EPI_ISL_1196484,20,C
EPI_ISL_1092904,20,C
EPI_ISL_1191311,20,C
EPI_ISL_1252313,21,C
EPI_ISL_1252312,21,C
EPI_ISL_1398671,21,C
EPI_ISL_1398745,21,C
EPI_ISL_1054443,22,C
EPI_ISL_1116351,22,C
EPI_ISL_1975647,22,C
EPI_ISL_1116384,22,C
EPI_ISL_1054379,22,C
EPI_ISL_1180045,22,C
EPI_ISL_1190109,22,C
EPI_ISL_1116416,22,C
EPI_ISL_866397,22,C
EPI_ISL_1063345,22,C
EPI_ISL_1116401,22,C
EPI_ISL_1116261,22,C
EPI_ISL_1252308,23,C
EPI_ISL_1323841,24,C
EPI_ISL_1398781,24,C
EPI_ISL_1252306,24,C
EPI_ISL_1196630,24,C
EPI_ISL_1180466,24,C
EPI_ISL_1180463,24,C
EPI_ISL_1196546,24,C
EPI_ISL_1323810,24,C
EPI_ISL_1398687,24,C
EPI_ISL_1180485,24,C
EPI_ISL_1180478,24,C
EPI_ISL_1191251,24,C
EPI_ISL_1180506,24,C
EPI_ISL_1323774,24,C
EPI_ISL_1180490,24,C
EPI_ISL_1180349,24,C
EPI_ISL_875430,25,C
EPI_ISL_1196521,26,C
EPI_ISL_1055088,26,C
EPI_ISL_1132601,26,C
EPI_ISL_1191435,26,C
EPI_ISL_1092901,26,C
EPI_ISL_1196520,26,C
EPI_ISL_1092896,26,C
EPI_ISL_1265103,27,C
EPI_ISL_1196625,28,C
EPI_ISL_1092911,28,C
EPI_ISL_1109264,29,C
EPI_ISL_1189714,30,C
EPI_ISL_1092573,31,C
EPI_ISL_1358099,32,C
EPI_ISL_1552247,32,C
EPI_ISL_1397195,33,C
EPI_ISL_1398718,33,C
EPI_ISL_909853,33,C
EPI_ISL_1397315,33,C
EPI_ISL_1191369,33,C
EPI_ISL_1092682,33,C
EPI_ISL_1180290,33,C
EPI_ISL_1196501,33,C
EPI_ISL_1092671,33,C
EPI_ISL_1092854,33,C
EPI_ISL_1180665,33,C
EPI_ISL_1397287,33,C
EPI_ISL_1358135,33,C
EPI_ISL_1092855,33,C
EPI_ISL_1196522,33,C
EPI_ISL_1397314,33,C
EPI_ISL_1398756,33,C
EPI_ISL_1180368,33,C
EPI_ISL_1196519,33,C
EPI_ISL_1398720,33,C
EPI_ISL_1117730,33,C
EPI_ISL_1092866,33,C
EPI_ISL_1358057,33,C
EPI_ISL_1357990,33,C
EPI_ISL_1196523,33,C
EPI_ISL_1398719,33,C
EPI_ISL_1180337,33,C
EPI_ISL_1397270,33,C
EPI_ISL_1180365,33,C
EPI_ISL_1357988,33,C
EPI_ISL_1117717,33,C
EPI_ISL_837383,34,C
EPI_ISL_994610,35,C
EPI_ISL_921087,36,C
